[Connect DataFile][2.1]
Date:	8/12/2025
Time:	07:07:57
Unit:	°C
Resolution:	0.050/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00.000	800.0	24.4	23.6	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		07:07:57:258		
000:00:00.050	800.0	24.4	23.6	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		07:07:57:308		
000:00:00.100	800.0	24.4	23.6	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		07:07:57:358		
000:00:00.150	800.0	24.4	23.7	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		07:07:57:408		
000:00:00.200	800.0	24.4	23.6	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		07:07:57:458		
000:00:00.250	800.0	24.4	23.6	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		07:07:57:508		
000:00:00.300	800.0	24.4	23.6	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		07:07:57:558		
000:00:00.350	800.0	24.4	23.6	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		07:07:57:608		
000:00:00.400	800.0	24.4	23.6	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		07:07:57:658		
000:00:00.450	800.0	24.4	23.7	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		07:07:57:708		
000:00:00.500	800.0	24.4	23.6	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		07:07:57:758		
000:00:00.550	800.0	24.4	23.6	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		07:07:57:808		
000:00:00.600	800.0	24.4	23.6	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		07:07:57:858		
000:00:00.650	800.0	24.4	23.6	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		07:07:57:908		
000:00:00.700	800.0	24.4	23.6	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		07:07:57:958		
000:00:00.750	800.0	24.4	23.6	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		07:07:58:008		
