Date  16.4.2024
time  08:52:17
#_Alloy  1
type_of_Glass  1
#_bobbin  0
time_seconds  length  Z  Phase  R  C  pressure  winding_Speed  speed_of_feeding_glass  power_of_generator_percent
0.033  0.128805  1936.17  94.715  159.153  0.37  38.5  59  2.0095  90.0499
0.082  0.128805  1883.62  94.8287  158.559  0.39  38  59  2.0095  90.0499
0.131  0.128805  1959.76  87.9837  68.95  0.37  38  59  2.0095  90.0499
0.179  0.257611  1991.22  89.8842  4.024  0.36  38  59  2.0095  90.0499
0.228  0.257611  1817.34  90.0445  1.412  0.4  38  59  2.0095  90.0499
0.277  0.257611  1991.56  87.8184  75.811  0.36  38  59  2.0095  90.0499
0.326  0.386416  2015.69  89.4482  19.414  0.36  38  59  2.0095  90.0499
0.375  0.386416  1879.25  95.1631  169.118  0.39  38.5  59  2.0095  90.0499
0.423  0.386416  1991.22  89.1991  27.834  0.36  38.5  59  2.0095  90.0499
0.472  0.515221  1966.75  89.7102  9.948  0.37  38.5  59  2.0095  90.0499
0.521  0.515221  1863.42  90.0243  0.791  0.39  38.5  59  2.0095  90.0499
0.57  0.644026  1935.26  95.1556  173.906  0.38  38.5  59  2.0095  90.0499
0.618  0.644026  2011.62  89.9496  1.771  0.36  38.5  59  2.0095  90.0499
0.667  0.644026  1955  89.1171  30.124  0.37  38.5  59  2.0095  90.0499
0.716  0.772832  1900.67  94.863  161.127  0.38  37.2  59  2.0095  90.0499
0.765  0.772832  1859.82  95.1655  167.446  0.39  37.2  59  2.0095  90.0499
0.813  0.772832  1972.41  89.9264  2.535  0.37  37.2  59  2.0095  90.0499
0.862  0.901637  1901.45  94.7156  156.32  0.38  37.2  59  2.0095  90.0499
0.912  0.901637  1825.52  94.1491  132.082  0.4  37.2  59  2.0095  90.0499
0.96  0.901637  1994.88  88.9652  36.025  0.36  37.2  59  2.0095  90.0499
1.009  1.03044  1895.97  96.1224  202.212  0.38  37.9  59  2.0095  90.0499
1.058  1.03044  1977.43  90.0319  1.101  0.37  37.9  59  2.0095  90.0499
1.107  1.03044  1999.97  89.9358  2.241  0.36  37.9  59  2.0095  90.0499
1.155  1.15925  1867.03  95.1205  166.634  0.39  37.9  59  2.0095  90.0499
1.204  1.15925  1971.75  89.0591  32.377  0.37  37.9  59  2.0095  90.0499
1.253  1.28805  1926.32  94.9688  166.843  0.38  37.9  59  2.0095  90.0499
1.302  1.28805  1873.85  95.2901  172.765  0.39  38.1  59  2.0095  90.0499
1.351  1.28805  1968.76  89.0762  31.741  0.37  38.1  59  2.0095  90.0499
1.399  1.41686  1914.05  96.3552  211.87  0.38  38.1  59  2.0095  90.0499
1.448  1.41686  1852.01  94.2215  136.332  0.39  38.1  59  2.0095  90.0499
1.497  1.41686  1977.31  88.9891  34.885  0.37  38.1  59  2.0095  90.0499
1.546  1.54566  1908.68  94.9082  163.306  0.38  38.1  59  2.0095  90.0499
1.594  1.54566  1936.69  89.1474  28.818  0.37  37  59  2.0095  90.0499
1.643  1.67447  2041.02  89.5868  14.718  0.35  37  59  2.0095  90.0499
1.692  1.67447  1966.75  89.7102  9.948  0.37  37  59  2.0095  90.0499
1.741  1.67447  1973.53  87.934  71.146  0.37  37  59  2.0095  90.0499
1.79  1.80327  1907.17  94.9176  163.488  0.38  37  59  2.0095  90.0499
1.839  1.80327  1882.05  93.9703  130.312  0.39  37  59  2.0095  90.0499
1.888  1.80327  1966.15  88.863  39.014  0.37  37  59  2.0095  90.0499
1.936  1.93208  1899.41  94.9184  162.848  0.38  37  59  2.0095  90.0499
1.985  1.93208  1879.48  95.2087  170.625  0.39  37  59  2.0095  90.0499
2.034  2.06088  1987.16  88.7398  43.704  0.36  37  59  2.0095  90.0499
2.083  2.06088  1997.03  89.9485  1.795  0.36  37  59  2.0095  90.0499
2.132  2.06088  1863.42  90.0243  0.791  0.39  37  59  2.0095  90.0499
2.18  2.18969  1910.22  95.2104  173.473  0.38  37.9  59  2.0095  90.0499
2.229  2.18969  1962.68  89.7694  7.898  0.37  37.9  59  2.0095  90.0499
2.278  2.18969  1914.78  95.1828  172.969  0.38  37.9  59  2.0095  90.0499
2.327  2.3185  1900.47  95.127  169.832  0.38  37.9  59  2.0095  90.0499
2.375  2.3185  1975.48  89.7769  7.691  0.37  37.9  59  2.0095  90.0499
2.424  2.4473  1990.61  89.8317  5.848  0.36  37.9  59  2.0095  90.0499
2.473  2.4473  1995.41  89.8244  6.115  0.36  37.8  59  2.0095  90.0499
2.522  2.4473  1853.64  93.9788  128.618  0.39  37.8  59  2.0095  90.0499
2.57  2.57611  1838.07  90.0085  0.272  0.39  37.8  59  2.0095  90.0499
2.619  2.57611  2002.02  89.9607  1.374  0.36  37.8  59  2.0095  90.0499
2.668  2.57611  2002.74  90.0152  0.531  0.36  37.8  59  2.0095  90.0499
2.717  2.70491  2005.65  89.579  14.736  0.36  37.8  59  2.0095  90.0499
2.765  2.70491  1953.53  89.9299  2.388  0.37  36.5  59  2.0095  90.0499
2.814  2.83372  1959.45  89.2252  26.495  0.37  36.5  59  2.0095  90.0499
2.863  2.83372  1922.66  95.1832  173.693  0.38  36.5  59  2.0095  90.0499
2.912  2.83372  1887.3  95.2548  172.848  0.38  36.5  59  2.0095  90.0499
2.96  2.96252  2016.54  89.6579  12.04  0.36  36.5  59  2.0095  90.0499
3.01  2.96252  1928.91  94.8565  163.303  0.38  36.5  59  2.0095  90.0499
3.058  2.96252  1962.81  89.9187  2.785  0.37  37.6  59  2.0095  90.0499
3.107  3.09133  1841.04  89.9931  0.222  0.39  37.6  59  2.0095  90.0499
3.156  3.09133  1885.47  96.5102  213.776  0.39  37.6  59  2.0095  90.0499
3.205  3.22013  1821.7  90.0218  0.692  0.4  37.6  59  2.0095  90.0499
3.253  3.22013  1970.97  89.8008  6.854  0.37  37.6  59  2.0095  90.0499
3.302  3.22013  1849.61  95.1832  167.094  0.39  37.6  59  2.0095  90.0499
3.351  3.34894  1829.16  90.0379  1.211  0.4  37.6  59  2.0095  90.0499
3.4  3.34894  1994.99  89.7884  7.366  0.36  37.3  59  2.0095  90.0499
3.448  3.34894  1960.04  89.0125  33.78  0.37  37.3  59  2.0095  90.0499
3.497  3.47774  1970.68  89.1033  30.842  0.37  37.3  59  2.0095  90.0499
3.546  3.47774  1898.5  96.3449  209.81  0.38  37.3  59  2.0095  90.0499
3.595  3.60655  1820.14  89.9942  0.185  0.4  37.3  59  2.0095  90.0499
3.644  3.60655  1931.43  95.0339  169.474  0.38  37.3  59  2.0095  90.0499
3.692  3.60655  1884.33  94.9655  163.098  0.39  37.8  59  2.0095  90.0499
3.741  3.73535  1969.08  87.9626  70.006  0.37  37.8  59  2.0095  90.0499
3.79  3.73535  2033.98  89.4282  20.297  0.36  37.8  59  2.0095  90.0499
3.839  3.73535  1798.34  90.0189  0.593  0.4  37.8  59  2.0095  90.0499
3.887  3.86416  1971.75  89.0591  32.377  0.37  37.8  59  2.0095  90.0499
3.936  3.86416  1909.95  94.8526  161.568  0.38  37.8  59  2.0095  90.0499
3.985  3.99296  1860.24  95.5592  180.207  0.39  37.6  59  2.0095  90.0499
4.034  3.99296  2010.43  89.8438  5.48  0.36  37.6  59  2.0095  90.0499
4.083  3.99296  2000.14  89.5315  16.353  0.36  37.6  59  2.0095  90.0499
4.131  4.12177  1793.96  89.9906  0.295  0.4  37.6  59  2.0095  90.0499
4.18  4.12177  1947.37  94.694  159.361  0.37  37.6  59  2.0095  90.0499
4.229  4.12177  2005.21  89.5428  15.999  0.36  37.6  59  2.0095  90.0499
4.278  4.25057  2011.08  89.8995  3.527  0.36  37.8  59  2.0095  90.0499
4.326  4.25057  1895.71  94.7994  158.61  0.38  37.8  59  2.0095  90.0499
4.375  4.37938  1945.39  89.8984  3.45  0.37  37.8  59  2.0095  90.0499
4.424  4.37938  2000.3  89.952  1.677  0.36  37.8  59  2.0095  90.0499
4.473  4.37938  2029.83  89.6452  12.568  0.36  37.8  59  2.0095  90.0499
4.521  4.50819  1891.28  93.98  131.272  0.38  37.8  59  2.0095  90.0499
4.57  4.50819  1982.17  88.7306  43.912  0.37  38.9  59  2.0095  90.0499
4.619  4.50819  1902.09  94.5436  150.678  0.38  38.9  59  2.0095  90.0499
4.668  4.63699  1936.48  89.2605  24.993  0.37  38.9  59  2.0095  90.0499
4.716  4.63699  1897.94  95.2372  173.244  0.38  38.9  59  2.0095  90.0499
4.765  4.7658  1911.21  96.4183  213.646  0.38  38.9  59  2.0095  90.0499
4.814  4.7658  1833.72  90.0669  2.142  0.39  38.9  59  2.0095  90.0499
4.863  4.7658  2024  89.4425  19.695  0.36  37.3  59  2.0095  90.0499
4.912  4.8946  1975.27  89.9857  0.492  0.37  37.3  59  2.0095  90.0499
4.96  4.8946  1960.83  88.8182  40.443  0.37  37.3  59  2.0095  90.0499
5.009  4.8946  1905.18  94.8348  160.574  0.38  37.3  59  2.0095  90.0499
5.058  5.02341  1872.83  95.3898  175.916  0.39  37.3  59  2.0095  90.0499
5.106  5.02341  2002.51  89.7314  9.388  0.36  37.3  59  2.0095  90.0499
5.155  5.15221  1899.88  95.0103  165.926  0.38  37.7  59  2.0095  90.0499
5.204  5.15221  1856.28  94.1925  135.708  0.39  37.7  59  2.0095  90.0499
5.253  5.15221  1960.52  89.8558  4.933  0.37  37.7  59  2.0095  90.0499
5.302  5.28102  1882.39  94.8836  160.251  0.39  37.7  59  2.0095  90.0499
5.35  5.28102  1826.08  89.9989  0.035  0.4  37.7  59  2.0095  90.0499
5.399  5.28102  1994.15  89.7165  9.866  0.36  37.7  59  2.0095  90.0499
5.448  5.40982  1804.14  90.0236  0.745  0.4  37.6  59  2.0095  90.0499
5.497  5.40982  2027.15  90.0058  0.207  0.36  37.6  59  2.0095  90.0499
5.545  5.53863  2017.61  89.7476  8.89  0.36  37.6  59  2.0095  90.0499
5.594  5.53863  1815.79  90.017  0.538  0.4  37.6  59  2.0095  90.0499
5.643  5.53863  2011.69  89.9526  1.665  0.36  37.6  59  2.0095  90.0499
5.692  5.66743  1892.97  94.864  160.507  0.38  37.6  59  2.0095  90.0499
5.741  5.66743  1940.23  89.8516  5.024  0.37  37.6  59  2.0095  90.0499
5.789  5.66743  1899.44  95.2282  173.08  0.38  37.6  59  2.0095  90.0499
5.838  5.79624  1887.05  94.9013  161.228  0.38  37.6  59  2.0095  90.0499
5.887  5.79624  1956.7  89.3914  20.784  0.37  37.6  59  2.0095  90.0499
5.936  5.92504  2038.08  89.9508  1.751  0.35  37.6  59  2.0095  90.0499
5.985  5.92504  1817.19  89.9905  0.3  0.4  37.6  59  2.0095  90.0499
6.033  5.92504  1964.71  87.8748  72.859  0.37  37.6  59  2.0095  90.0499
6.082  6.05385  1912.98  94.8337  161.195  0.38  35.8  59  2.0095  90.0499
6.131  6.05385  1851.8  95.3328  172.109  0.39  35.8  59  2.0095  90.0499
6.18  6.05385  1925.34  94.7824  160.518  0.38  35.8  59  2.0095  90.0499
6.228  6.18265  1915.68  94.4561  148.841  0.38  35.8  59  2.0095  90.0499
6.277  6.18265  1930.73  89.2933  23.813  0.37  35.8  59  2.0095  90.0499
6.326  6.31146  2012.56  89.4649  18.794  0.36  35.8  59  2.0095  90.0499
6.375  6.31146  1871.6  95.444  177.563  0.39  36.7  59  2.0095  90.0499
6.424  6.31146  1951.52  87.96  69.468  0.37  36.7  59  2.0095  90.0499
6.472  6.44026  2014.9  89.8002  7.028  0.36  36.7  59  2.0095  90.0499
6.521  6.44026  1857.95  95.0845  164.66  0.39  36.7  59  2.0095  90.0499
6.57  6.44026  2020.49  90.0012  0.042  0.36  36.7  59  2.0095  90.0499
6.619  6.56907  1927.29  94.5518  152.952  0.38  36.7  59  2.0095  90.0499
6.668  6.56907  1868.01  94.1595  135.493  0.39  37.6  59  2.0095  90.0499
6.717  6.69788  1975.99  88.8819  38.556  0.37  37.6  59  2.0095  90.0499
6.765  6.69788  1900.24  95.081  168.291  0.38  37.6  59  2.0095  90.0499
