Date  22.7.2025
time  09:45:19
#_Alloy  1
type_of_Glass  1
#_bobbin  0
time_seconds  length  Z  Phase  R  C  pressure  winding_Speed  speed_of_feeding_glass  power_of_generator_percent
0.033  0.128805  1914.67  89.3479  21.79  0.38  10.8  46  1.908  4.6999
0.082  0.128805  1901.04  94.9337  163.493  0.38  10.5  46  1.908  4.6999
0.13  0.128805  1857.83  96.3363  205.036  0.39  10.5  46  1.908  4.6999
0.179  0.128805  1941.44  89.1574  28.549  0.37  10.5  46  1.908  4.6999
0.228  0.257611  1909.98  95.1641  171.915  0.38  10.5  46  1.908  4.6999
0.277  0.257611  1857.72  95.0395  163.188  0.39  10.5  46  1.908  4.6999
0.325  0.257611  1950.37  88.9931  34.275  0.37  10.5  46  1.908  4.6999
0.374  0.386416  1973.97  89.7849  7.411  0.37  10.5  46  1.908  4.6999
0.423  0.386416  1935.54  90.0086  0.292  0.37  10.5  46  1.908  4.6999
0.472  0.386416  1981.47  89.8793  4.176  0.37  10.5  46  1.908  4.6999
0.52  0.386416  1999  89.9762  0.832  0.36  10.5  46  1.908  4.6999
0.569  0.515221  1915.28  89.2708  24.376  0.38  10.5  46  1.908  4.6999
0.618  0.515221  2023.1  89.9497  1.776  0.36  10.5  46  1.908  4.6999
0.667  0.515221  1887.24  96.2184  204.424  0.39  10.2  46  1.908  4.9999
0.715  0.515221  1870.9  94.1399  135.065  0.39  10.2  46  1.908  4.9999
0.764  0.644026  1976.57  89.7334  9.198  0.37  10.2  46  1.908  4.9999
0.813  0.644026  1850.81  95.1294  165.474  0.39  10.2  46  1.908  4.9999
0.862  0.644026  1951.45  89.2128  26.812  0.37  10.2  46  1.908  4.9999
0.911  0.772832  1912.5  94.7412  158.077  0.38  10.2  46  1.908  5.1999
0.959  0.772832  1858.16  95.4326  175.921  0.39  9.9  46  1.908  5.1999
1.008  0.772832  1969.19  89.1118  30.526  0.37  9.9  46  1.908  5.1999
1.057  0.772832  1880.37  95.0841  166.636  0.39  9.9  46  1.908  5.1999
1.106  0.901637  1842.13  94.2887  137.759  0.39  9.9  46  1.908  5.1999
1.154  0.901637  1899.54  94.943  163.673  0.38  9.9  46  1.908  5.2999
1.203  0.901637  1809.87  89.9934  0.207  0.4  9.9  46  1.908  5.3999
1.252  1.03044  1924.58  89.0317  32.525  0.38  9.9  46  1.908  5.5999
1.301  1.03044  1845.62  90.0056  0.18  0.39  9.9  46  1.908  5.7999
1.35  1.03044  1861.25  95.4602  177.105  0.39  9.9  46  1.908  5.7999
1.399  1.03044  1955.43  89.1524  28.926  0.37  9.9  46  1.908  5.7999
1.448  1.15925  1909.47  94.7602  158.459  0.38  9.9  46  1.908  5.7999
1.497  1.15925  1784.07  90.0244  0.758  0.41  9.9  46  1.908  5.7999
1.546  1.15925  1967.89  89.0051  34.168  0.37  9.9  46  1.908  5.7999
1.595  1.28805  1957.15  89.8362  5.595  0.37  9.9  46  1.908  6.4499
1.643  1.28805  1833.24  93.9826  127.326  0.4  9.9  46  1.908  6.4499
1.692  1.28805  1911.03  95.0623  168.628  0.38  9.9  46  1.908  6.4499
1.741  1.41686  1865.14  95.0392  163.829  0.39  9.9  46  1.908  6.4499
1.79  1.41686  1927.45  89.2749  24.393  0.38  9.9  46  1.908  6.4499
