0.0011	0.08	72.72727272727272
0.0021	0.161	76.66666666666667
0.003	0.249	83.0
0.0039	0.336	86.15384615384616
0.005	0.439	87.8
0.006	0.519	86.5
0.0069	0.607	87.97101449275362
0.008	0.706	88.25
0.009	0.795	88.33333333333334
0.0101	0.895	88.61386138613862
0.011	0.983	89.36363636363637
0.0119	1.067	89.66386554621847
0.013	1.171	90.07692307692308
0.014	1.26	90.0
0.015	1.357	90.46666666666667
0.016	1.466	91.625
0.017	1.545	90.88235294117646
0.0179	1.637	91.45251396648045
0.0189	1.745	92.32804232804233
0.0199	1.852	93.06532663316582
0.0208	1.934	92.98076923076923
0.0221	2.053	92.89592760180994
0.0228	2.148	94.21052631578948
0.0239	2.261	94.60251046025104
0.025	2.363	94.52
0.0259	2.463	95.0965250965251
0.0271	2.598	95.86715867158671
0.0279	2.707	97.02508960573476
0.0289	2.798	96.8166089965398
0.03	2.94	98.0
0.0309	3.04	98.38187702265373
0.0319	3.161	99.0909090909091
0.033	3.269	99.06060606060606
0.0339	3.371	99.43952802359883
0.0347	3.48	100.28818443804035
0.036	3.633	100.91666666666667
0.037	3.74	101.0810810810811
0.0379	3.869	102.0844327176781
0.039	3.999	102.53846153846155
0.0399	4.117	103.18295739348372
0.0408	4.226	103.578431372549
0.0418	4.316	103.25358851674642
0.0428	4.438	103.69158878504673
0.0439	4.568	104.05466970387242
0.045	4.74	105.33333333333334
0.0459	4.819	104.98910675381262
0.0471	4.974	105.60509554140127
0.0479	5.061	105.65762004175366
0.049	5.24	106.93877551020408
0.05	5.373	107.46
0.0508	5.561	109.46850393700788
0.0519	5.744	110.67437379576107
0.053	5.866	110.67924528301886
0.054	5.957	110.31481481481481
0.0548	6.1	111.31386861313868
0.056	6.309	112.66071428571429
0.0569	6.421	112.84710017574693
0.0577	6.571	113.88214904679376
0.059	6.744	114.30508474576271
0.0599	6.886	114.95826377295492
0.061	7.048	115.54098360655738
0.0619	7.177	115.94507269789983
0.063	7.335	116.42857142857143
0.0641	7.473	116.58346333853353
0.065	7.565	116.38461538461539
0.066	7.703	116.7121212121212
0.0669	7.824	116.9506726457399
0.0679	7.994	117.73195876288659
0.0689	8.127	117.95355587808419
0.0699	8.324	119.08440629470671
0.0709	8.424	118.81523272214385
0.0719	8.572	119.22114047287897
0.073	8.749	119.84931506849317
0.0738	8.885	120.39295392953929
0.0748	9.026	120.66844919786095
0.0759	9.214	121.39657444005272
0.077	9.277	120.48051948051948
0.0779	9.48	121.69448010269578
0.0789	9.634	122.10392902408113
0.0799	9.802	122.67834793491865
0.0809	9.888	122.22496909765142
0.082	10.095	123.10975609756098
0.0828	10.18	122.94685990338164
0.084	10.35	123.21428571428571
0.0849	10.498	123.65135453474674
0.0859	10.663	124.13271245634458
0.087	10.787	123.98850574712645
0.0878	10.925	124.43052391799544
0.0889	11.066	124.4769403824522
0.09	11.28	125.33333333333333
0.091	11.434	125.64835164835165
0.0918	11.594	126.29629629629628
0.093	11.777	126.63440860215053
0.0939	11.931	127.06070287539936
0.0948	12.082	127.44725738396626
0.0959	12.248	127.71637122002085
0.0968	12.414	128.24380165289256
0.098	12.594	128.51020408163265
0.099	12.734	128.62626262626262
0.0999	12.882	128.94894894894895
0.1009	13.041	129.24677898909812
0.1019	13.199	129.5289499509323
0.1028	13.312	129.4941634241245
0.1039	13.477	129.71126082771895
0.1049	13.627	129.90467111534795
0.1058	13.754	130.0
0.1069	13.912	130.14031805425634
0.1079	14.064	130.34291010194625
0.1089	14.187	130.2754820936639
0.11	14.336	130.32727272727274
0.1107	14.444	130.47877145438122
0.1118	14.584	130.44722719141325
0.1128	14.725	130.54078014184398
0.1139	14.863	130.4916593503073
0.1149	15.007	130.60922541340295
0.1159	15.143	130.65573770491804
0.1168	15.257	130.625
0.118	15.412	130.61016949152543
0.1189	15.543	130.72329688814128
0.1197	15.669	130.90225563909775
0.1209	15.821	130.86021505376345
0.1219	15.947	130.82034454470877
0.1229	16.095	130.96013018714402
0.124	16.253	131.07258064516128
0.1249	16.39	131.2249799839872
0.1259	16.521	131.22319301032564
0.1269	16.687	131.49724192277384
0.1279	16.827	131.56372165754496
0.1289	16.957	131.55159038013966
0.13	17.147	131.89999999999998
0.1309	17.3	132.16195569136747
0.1321	17.485	132.36184708554126
0.133	17.651	132.7142857142857
0.134	17.817	132.96268656716418
0.135	17.999	133.3259259259259
0.1358	18.168	133.78497790868923
0.1369	18.339	133.9590942293645
0.138	18.543	134.36956521739128
0.139	18.75	134.89208633093523
0.1398	18.936	135.45064377682402
0.1401	19.012	135.7030692362598
0.14	19.06	136.1428571428571
0.1387	18.953	136.647440519106
0.1379	18.626	135.06889050036258
0.1367	18.501	135.340160936357
0.1358	18.367	135.2503681885125
0.1351	18.262	135.1739452257587
0.1337	18.092	135.31787584143603
0.1329	17.984	135.31978931527468
0.1318	17.832	135.29590288315632
0.1307	17.673	135.21805661820963
0.13	17.575	135.19230769230768
0.1287	17.388	135.10489510489512
0.1277	17.257	135.13703993735317
0.1268	17.128	135.0788643533123
0.1256	16.967	135.0875796178344
0.1245	16.814	135.05220883534136
0.1238	16.702	134.91114701130857
0.1228	16.562	134.86970684039088
0.1217	16.419	134.9137222678718
0.1209	16.303	134.84698097601324
0.1197	16.148	134.90392648287386
0.1188	16.036	134.98316498316498
0.1176	15.896	135.1700680272109
0.1167	15.779	135.20994001713797
0.1158	15.663	135.25906735751295
0.1147	15.549	135.56233653007845
0.1137	15.431	135.71679859278802
0.1127	15.302	135.77639751552795
0.1118	15.187	135.84078711985688
0.1107	15.066	136.09756097560975
0.1097	14.953	136.3081130355515
0.1087	14.837	136.4949402023919
0.1078	14.719	136.5398886827458
0.107	14.612	136.5607476635514
0.1057	14.464	136.84011352885526
0.1047	14.35	137.0582617000955
0.1036	14.207	137.13320463320466
0.1027	14.082	137.1178188899708
0.1018	13.975	137.27897838899804
0.1008	13.847	137.37103174603175
0.0998	13.725	137.5250501002004
0.0988	13.577	137.41902834008098
0.098	13.465	137.39795918367346
0.0968	13.293	137.32438016528926
0.0959	13.177	137.40354535974973
0.0947	12.992	137.19112988384373
0.0937	12.847	137.1077908217716
0.0928	12.74	137.2844827586207
0.0917	12.572	137.09923664122135
0.0909	12.427	136.71067106710672
0.0898	12.284	136.79287305122494
0.0887	12.129	136.74182638105975
0.0876	11.954	136.4611872146119
0.0868	11.833	136.32488479262673
0.0858	11.674	136.06060606060606
0.0848	11.514	135.77830188679243
0.0839	11.397	135.84028605482717
0.0827	11.188	135.28415961305927
0.0819	11.072	135.1892551892552
0.0809	10.917	134.94437577255871
0.0799	10.76	134.6683354192741
0.0788	10.59	134.39086294416245
0.0777	10.422	134.13127413127413
0.0768	10.298	134.08854166666669
0.0758	10.129	133.62796833773086
0.0748	9.975	133.35561497326202
0.0738	9.809	132.9132791327913
0.0728	9.658	132.66483516483515
0.0717	9.479	132.20362622036262
0.0708	9.328	131.75141242937852
0.0698	9.164	131.2893982808023
0.0687	8.998	130.97525473071323
0.068	8.882	130.6176470588235
0.0668	8.701	130.25449101796409
0.0657	8.532	129.86301369863014
0.0646	8.355	129.33436532507739
0.0639	8.223	128.6854460093897
0.0629	8.06	128.13990461049286
0.0619	7.906	127.7221324717286
0.061	7.763	127.26229508196721
0.0598	7.564	126.48829431438128
0.0588	7.402	125.88435374149661
0.0576	7.197	124.94791666666667
0.0568	7.078	124.61267605633803
0.0559	6.923	123.84615384615385
0.0547	6.723	122.90676416819012
0.0538	6.594	122.56505576208178
0.0528	6.418	121.55303030303031
0.0518	6.262	120.88803088803088
0.0508	6.099	120.05905511811025
0.0499	5.946	119.15831663326652
0.0487	5.764	118.35728952772074
0.0479	5.651	117.97494780793319
0.0469	5.493	117.1215351812367
0.0458	5.293	115.56768558951966
0.045	5.176	115.02222222222223
0.0439	4.97	113.21184510250569
0.0429	4.883	113.82284382284382
0.0417	4.729	113.4052757793765
0.0406	4.49	110.59113300492612
0.0397	4.396	110.73047858942066
0.0388	4.283	110.38659793814433
0.0378	4.126	109.15343915343917
0.0367	4.006	109.15531335149863
0.0358	3.878	108.32402234636872
0.0347	3.714	107.03170028818444
0.0337	3.56	105.6379821958457
0.0326	3.422	104.96932515337424
0.0316	3.3	104.43037974683543
0.0308	3.195	103.73376623376623
0.0298	3.068	102.95302013422818
0.0288	2.954	102.56944444444446
0.0278	2.812	101.15107913669065
0.0269	2.716	100.96654275092938
0.0257	2.568	99.92217898832685
0.025	2.482	99.28
0.0238	2.355	98.94957983193277
0.0228	2.234	97.98245614035088
0.0219	2.125	97.03196347031964
0.0207	2.007	96.95652173913044
0.0199	1.91	95.97989949748742
0.0188	1.801	95.79787234042553
0.0179	1.699	94.91620111731844
0.0168	1.585	94.3452380952381
0.016	1.511	94.43749999999999
0.0148	1.388	93.78378378378378
0.0138	1.284	93.04347826086956
0.0129	1.197	92.79069767441861
0.0118	1.084	91.86440677966102
0.0109	1.008	92.4770642201835
0.0099	0.9	90.9090909090909
0.0088	0.799	90.79545454545455
0.0079	0.711	89.99999999999999
0.0068	0.604	88.82352941176471
0.0059	0.524	88.81355932203391
0.0049	0.43	87.75510204081633
0.0039	0.342	87.69230769230771
0.0029	0.244	84.13793103448276
0.0018	0.151	83.88888888888889
