[Connect DataFile][2.1]
Date:	7/16/2025
Time:	08:52:26
Unit:	°C
Resolution:	0.050/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00.000	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:26:666		
000:00:00.050	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:26:716		
000:00:00.100	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:26:766		
000:00:00.150	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:26:816		
000:00:00.200	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:26:866		
000:00:00.250	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:26:916		
000:00:00.300	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:26:966		
000:00:00.350	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:27:016		
000:00:00.400	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:27:066		
000:00:00.450	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:27:116		
000:00:00.500	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:27:166		
000:00:00.550	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:27:216		
000:00:00.600	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:27:266		
000:00:00.650	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:27:316		
000:00:00.700	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:27:366		
000:00:00.750	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:27:416		
000:00:00.800	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:27:466		
000:00:00.850	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:27:516		
000:00:00.900	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:27:566		
000:00:00.950	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:27:616		
000:00:01.000	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:27:666		
000:00:01.050	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:27:716		
000:00:01.100	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:27:766		
000:00:01.150	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:27:816		
000:00:01.200	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:27:866		
000:00:01.250	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:27:916		
000:00:01.300	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:27:966		
000:00:01.350	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:28:016		
000:00:01.400	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:28:066		
000:00:01.450	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:28:116		
000:00:01.500	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:28:166		
000:00:01.550	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:28:216		
000:00:01.600	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:28:266		
000:00:01.650	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:28:316		
000:00:01.700	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:28:366		
000:00:01.750	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:28:416		
000:00:01.800	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:28:466		
000:00:01.850	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:28:516		
000:00:01.900	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:28:566		
000:00:01.950	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:28:616		
000:00:02.000	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:28:666		
000:00:02.050	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:28:716		
000:00:02.100	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:28:766		
000:00:02.150	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:28:816		
000:00:02.200	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:28:866		
000:00:02.250	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:28:916		
000:00:02.300	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:28:966		
000:00:02.350	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:29:016		
000:00:02.400	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:29:066		
000:00:02.450	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:29:116		
000:00:02.500	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:29:166		
000:00:02.550	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:29:216		
000:00:02.600	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:29:266		
000:00:02.650	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:29:316		
000:00:02.700	800.0	24.3	24.1	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:52:29:366		
