Filename	Ni50Fe27Ga23 11_1 s1
1.23	15.3877	0.0478754	40.37	0.0478977
1.25	15.8804	0.0496176	40.37	0.0496400
1.27	15.8434	0.0485430	40.37	0.0485653
1.29	16.2540	0.0498591	40.37	0.0498815
1.31	16.1919	0.0487977	40.37	0.0488201
1.33	16.3356	0.0502830	40.37	0.0503053
1.35	16.1185	0.0506607	40.37	0.0506831
1.37	16.5021	0.0522774	40.37	0.0522998
1.39	16.9395	0.0537298	40.37	0.0537521
1.41	16.7878	0.0541257	40.37	0.0541480
1.43	17.1837	0.0559353	40.37	0.0559577
1.45	17.3877	0.0559215	40.37	0.0559438
1.47	17.4521	0.0569700	40.37	0.0569923
1.49	17.5304	0.0573240	40.37	0.0573463
1.51	18.1361	0.0573067	40.38	0.0573290
1.53	17.8263	0.0583107	40.38	0.0583330
1.55	18.5806	0.0579406	40.38	0.0579629
1.57	18.6844	0.0600271	40.38	0.0600494
1.59	18.7795	0.0597016	40.38	0.0597240
1.61	18.8797	0.0622397	40.38	0.0622620
1.63	19.0842	0.0620796	40.38	0.0621019
1.65	19.0807	0.0638299	40.38	0.0638522
1.67	19.7794	0.0642502	40.38	0.0642725
1.69	19.7059	0.0643789	40.38	0.0644012
1.71	20.0804	0.0652924	40.38	0.0653147
1.73	20.3864	0.0645321	40.38	0.0645544
1.75	20.5284	0.0663768	40.38	0.0663992
1.77	20.8723	0.0660400	40.38	0.0660623
1.79	21.0976	0.0680451	40.38	0.0680674
1.81	21.1295	0.0686146	40.38	0.0686369
1.83	21.4676	0.0700065	40.38	0.0700288
1.85	21.8806	0.0711333	40.38	0.0711556
1.87	21.8474	0.0713342	40.38	0.0713565
1.89	22.4790	0.0728143	40.38	0.0728366
1.91	22.2141	0.0722036	40.38	0.0722259
1.93	22.5360	0.0736655	40.38	0.0736878
1.95	22.9657	0.0732825	40.38	0.0733049
1.97	23.0749	0.0745605	40.38	0.0745828
1.99	23.1082	0.0755501	40.38	0.0755724
2.01	23.5543	0.0761236	40.38	0.0761460
2.03	23.6901	0.0781862	40.38	0.0782085
2.05	23.8393	0.0777284	40.38	0.0777508
2.07	24.3219	0.0802103	40.38	0.0802326
2.09	24.3151	0.0790696	40.38	0.0790920
2.11	24.6089	0.0809780	40.38	0.0810003
2.13	25.4997	0.0804628	40.38	0.0804852
2.15	25.5788	0.0815845	40.38	0.0816068
2.17	25.6936	0.0819814	40.38	0.0820037
2.19	26.1627	0.0819888	40.38	0.0820112
2.21	25.7374	0.0834820	40.38	0.0835044
2.23	26.5857	0.0833876	40.38	0.0834099
2.25	26.5447	0.0853596	40.38	0.0853819
2.27	26.8554	0.0856644	40.38	0.0856867
2.29	27.2309	0.0873539	40.38	0.0873762
2.31	27.1699	0.0878387	40.38	0.0878610
2.33	27.1936	0.0876636	40.38	0.0876859
2.35	26.7392	0.0893833	40.38	0.0894057
2.37	27.5201	0.0883704	40.38	0.0883928
2.39	27.8605	0.0909219	40.38	0.0909443
2.41	27.4998	0.0899679	40.38	0.0899902
2.43	27.4673	0.0927965	40.38	0.0928188
2.45	28.1384	0.0923578	40.38	0.0923801
2.47	28.3405	0.0947529	40.38	0.0947753
2.49	28.5135	0.0947698	40.38	0.0947922
2.51	28.4148	0.0956003	40.38	0.0956226
2.53	28.7693	0.0959169	40.38	0.0959393
2.55	29.2706	0.0957677	40.38	0.0957900
2.57	29.4777	0.0970092	40.38	0.0970315
2.59	29.6904	0.0972972	40.38	0.0973195
2.61	29.6904	0.0987478	40.38	0.0987701
2.63	30.0283	0.100091	40.38	0.100113
2.65	30.1207	0.100768	40.38	0.100790
2.67	30.2833	0.102365	40.38	0.102387
2.69	30.8199	0.102007	40.38	0.102030
2.71	30.6566	0.103655	40.38	0.103677
2.73	31.1633	0.102445	40.38	0.102468
2.75	31.1764	0.104224	40.38	0.104247
2.77	31.7395	0.103588	40.38	0.103610
2.79	31.8141	0.105678	40.38	0.105700
2.81	31.8769	0.105649	40.38	0.105672
2.83	32.3975	0.107075	40.38	0.107097
2.85	32.4562	0.108332	40.38	0.108354
2.87	32.8157	0.108735	40.38	0.108757
2.89	32.5722	0.110642	40.38	0.110664
2.91	33.2199	0.110422	40.38	0.110445
2.93	32.9716	0.111684	40.38	0.111707
2.95	33.3482	0.112228	40.38	0.112251
2.97	33.5740	0.112218	40.38	0.112240
2.99	34.0007	0.113286	40.38	0.113308
3.01	34.1120	0.112602	40.38	0.112624
3.03	34.2816	0.114597	40.38	0.114619
3.05	34.5903	0.114602	40.38	0.114624
3.07	34.6893	0.117152	40.38	0.117174
3.09	35.1154	0.117337	40.38	0.117359
3.11	35.4537	0.119073	40.38	0.119096
3.13	36.1431	0.119769	40.38	0.119792
3.15	36.1074	0.119926	40.38	0.119948
3.17	36.3008	0.120952	40.38	0.120974
3.19	36.6045	0.119452	40.38	0.119474
3.21	36.7676	0.121500	40.38	0.121523
3.23	37.1824	0.119678	40.38	0.119700
3.25	37.3138	0.122375	40.38	0.122398
3.27	37.6903	0.122624	40.38	0.122647
3.29	37.8688	0.124692	40.38	0.124714
3.31	37.9588	0.126085	40.38	0.126108
3.33	37.8367	0.126860	40.38	0.126882
3.35	37.4658	0.128446	40.38	0.128469
3.37	38.0962	0.127747	40.38	0.127769
3.39	38.1609	0.129244	40.38	0.129266
3.41	38.3048	0.128665	40.38	0.128687
3.43	38.4378	0.129342	40.38	0.129364
3.45	38.6467	0.130260	40.38	0.130282
3.47	38.6868	0.130336	40.38	0.130358
3.49	39.1799	0.132264	40.38	0.132287
3.51	39.2936	0.131705	40.38	0.131727
3.53	39.6801	0.135044	40.39	0.135067
3.55	39.7672	0.134704	40.39	0.134726
3.57	39.8507	0.137106	40.39	0.137129
3.59	40.2086	0.136802	40.39	0.136825
3.61	40.3846	0.137918	40.39	0.137940
3.63	40.5684	0.137574	40.39	0.137596
3.65	40.5627	0.137150	40.39	0.137172
3.67	41.0616	0.137953	40.39	0.137976
3.69	41.4926	0.138062	40.39	0.138084
3.71	41.6998	0.140210	40.39	0.140232
3.73	41.3440	0.141305	40.39	0.141328
3.75	41.6116	0.143213	40.39	0.143236
3.77	41.7902	0.144472	40.39	0.144494
3.79	41.9686	0.143941	40.39	0.143964
3.81	42.3154	0.145981	40.39	0.146004
3.83	42.3549	0.143726	40.39	0.143749
3.85	42.7088	0.146529	40.39	0.146552
3.87	42.8142	0.145505	40.39	0.145527
3.89	43.2561	0.147982	40.39	0.148004
3.91	43.2208	0.147922	40.39	0.147944
3.93	43.6698	0.149588	40.39	0.149610
3.95	43.6864	0.148737	40.39	0.148759
3.97	43.5091	0.150112	40.39	0.150134
3.99	44.0874	0.151341	40.39	0.151363
4.01	44.7003	0.151575	40.39	0.151597
4.03	44.5652	0.152965	40.39	0.152987
4.05	44.9503	0.153542	40.39	0.153564
4.07	44.8627	0.154841	40.39	0.154863
4.09	45.4213	0.155570	40.39	0.155592
4.11	45.9272	0.156434	40.39	0.156456
4.13	46.4207	0.157068	40.39	0.157090
4.15	46.4120	0.156725	40.39	0.156748
4.17	46.6824	0.157018	40.39	0.157041
4.19	47.0443	0.156761	40.39	0.156783
4.21	47.5124	0.158304	40.39	0.158326
4.23	47.7773	0.159483	40.39	0.159505
4.25	47.8966	0.161463	40.39	0.161485
4.27	48.2195	0.162987	40.39	0.163009
4.29	48.2431	0.164444	40.39	0.164466
4.31	48.7850	0.164752	40.39	0.164774
4.33	48.4019	0.164514	40.39	0.164536
4.35	48.6054	0.164750	40.39	0.164772
4.37	48.7150	0.164820	40.39	0.164843
4.39	48.8580	0.166037	40.39	0.166059
4.41	49.3571	0.166594	40.39	0.166616
4.43	49.2085	0.168018	40.39	0.168041
4.45	49.6258	0.168458	40.39	0.168480
4.47	49.7903	0.169686	40.39	0.169709
4.49	49.7541	0.170975	40.39	0.170997
4.51	50.2490	0.171646	40.39	0.171668
4.53	50.0639	0.172767	40.39	0.172790
4.55	50.4597	0.173489	40.39	0.173511
4.57	50.3066	0.174007	40.39	0.174029
4.59	51.1609	0.174201	40.39	0.174224
