[Connect DataFile][2.1]
Date:	5/16/2025
Time:	09:05:11
Unit:	°C
Resolution:	0.050/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:02.300	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:13:999		
000:00:02.350	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:14:049		
000:00:02.400	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:14:099		
000:00:02.450	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:14:149		
000:00:02.500	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:14:199		
000:00:02.550	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:14:249		
000:00:02.600	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:14:299		
000:00:02.650	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:14:349		
000:00:02.700	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:14:399		
000:00:02.750	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:14:449		
000:00:02.800	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:14:499		
000:00:02.850	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:14:549		
000:00:02.900	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:14:599		
000:00:02.950	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:14:649		
000:00:03.000	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:14:699		
000:00:03.050	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:14:749		
000:00:03.100	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:14:799		
000:00:03.150	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:14:849		
000:00:03.200	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:14:899		
000:00:03.250	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:14:949		
000:00:03.300	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:14:999		
000:00:03.350	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:15:049		
000:00:03.400	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:15:099		
000:00:03.450	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:15:149		
000:00:03.500	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:15:199		
000:00:03.550	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:15:249		
000:00:03.600	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:15:299		
000:00:03.650	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:15:349		
000:00:03.700	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:15:399		
000:00:03.750	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:15:449		
000:00:03.800	800.0	20.9	20.0	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		09:05:15:499		
