[Connect DataFile][1.1]
Date:	6/3/2025
Time:	12:08:27.815
Unit:	°C
Resolution:	0.037037037037037
Values:	1
Time	Area 1	
00:00:08.888	125.0	
00:00:08.925	125.0	
00:00:08.962	125.0	
00:00:09.000	125.0	
00:00:09.037	125.0	
00:00:09.074	125.0	
00:00:09.111	125.0	
00:00:09.148	125.0	
00:00:09.185	125.0	
00:00:09.222	125.0	
00:00:09.259	125.0	
00:00:09.296	125.0	
00:00:09.333	125.0	
00:00:09.370	125.0	
00:00:09.407	125.0	
00:00:09.444	125.0	
00:00:09.481	125.0	
00:00:09.518	125.0	
00:00:09.555	125.0	
00:00:09.592	125.0	
00:00:09.629	125.0	
00:00:09.666	125.0	
00:00:09.703	125.0	
00:00:09.740	125.0	
00:00:09.777	125.0	
00:00:09.814	125.0	
00:00:09.851	125.0	
00:00:09.888	125.0	
00:00:09.925	125.0	
00:00:09.962	125.0	
00:00:10.000	125.0	
00:00:10.037	125.0	
00:00:10.074	125.0	
00:00:10.111	125.0	
00:00:10.148	125.0	
00:00:10.185	125.0	
00:00:10.222	125.0	
00:00:10.259	125.0	
00:00:10.296	125.0	
00:00:10.333	125.0	
00:00:10.370	125.0	
00:00:10.407	125.0	
00:00:10.444	125.0	
00:00:10.481	125.0	
00:00:10.518	125.0	
00:00:10.555	125.0	
00:00:10.592	125.0	
00:00:10.629	125.0	
00:00:10.666	125.0	
00:00:10.703	125.0	
00:00:10.740	125.0	
00:00:10.777	125.0	
00:00:10.814	125.0	
00:00:10.851	125.0	
00:00:10.888	125.0	
00:00:10.925	125.0	
00:00:10.962	125.0	
00:00:11.000	125.0	
00:00:11.037	125.0	
00:00:11.074	125.0	
00:00:11.111	125.0	
00:00:11.148	125.0	
00:00:11.185	125.0	
00:00:11.222	125.0	
00:00:11.259	125.0	
00:00:11.296	125.0	
00:00:11.333	125.0	
00:00:11.370	125.0	
00:00:11.407	125.0	
00:00:11.444	125.0	
00:00:11.481	125.0	
00:00:11.518	125.0	
00:00:11.555	125.0	
00:00:11.592	125.0	
00:00:11.629	125.0	
00:00:11.666	125.0	
00:00:11.703	125.0	
00:00:11.740	125.0	
00:00:11.777	125.0	
00:00:11.814	125.0	
00:00:11.851	125.0	
00:00:11.888	125.0	
00:00:11.925	125.0	
