[Connect DataFile][2.1]
Date:	4/17/2024
Time:	08:44:58
Unit:	°C
Resolution:	0.050/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:02.300	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:00:714		
000:00:02.350	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:00:764		
000:00:02.400	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:00:814		
000:00:02.450	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:00:864		
000:00:02.500	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:00:914		
000:00:02.550	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:00:964		
000:00:02.600	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:01:014		
000:00:02.650	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:01:064		
000:00:02.700	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:01:114		
000:00:02.750	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:01:164		
000:00:02.800	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:01:214		
000:00:02.850	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:01:264		
000:00:02.900	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:01:314		
000:00:02.950	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:01:364		
000:00:03.000	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:01:414		
000:00:03.050	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:01:464		
000:00:03.100	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:01:514		
000:00:03.150	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:01:564		
000:00:03.200	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:01:614		
000:00:03.250	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:01:664		
000:00:03.300	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:01:714		
000:00:03.350	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:01:764		
000:00:03.400	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:01:814		
000:00:03.450	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:01:864		
000:00:03.500	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:01:914		
000:00:03.550	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:01:964		
000:00:03.600	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:02:014		
000:00:03.650	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:02:064		
000:00:03.700	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:02:114		
000:00:03.750	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:02:164		
000:00:03.800	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:02:214		
000:00:03.850	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:02:264		
000:00:03.900	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:02:314		
000:00:03.950	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:02:364		
000:00:04.000	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:02:414		
000:00:04.050	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:02:464		
000:00:04.100	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:02:514		
000:00:04.150	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:02:564		
000:00:04.200	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:02:614		
000:00:04.250	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:02:664		
000:00:04.300	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:02:714		
000:00:04.350	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:02:764		
000:00:04.400	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:02:814		
000:00:04.450	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:02:864		
000:00:04.500	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:02:914		
000:00:04.550	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:02:964		
000:00:04.600	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:03:014		
000:00:04.650	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:03:064		
000:00:04.700	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:03:114		
000:00:04.750	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:03:164		
000:00:04.800	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:03:214		
000:00:04.850	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:03:264		
000:00:04.900	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:03:314		
000:00:04.950	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:03:364		
000:00:05.000	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:03:414		
000:00:05.050	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:03:464		
000:00:05.100	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:03:514		
000:00:05.150	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:03:564		
000:00:05.200	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:03:614		
000:00:05.250	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:03:664		
000:00:05.300	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:03:714		
000:00:05.350	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:03:764		
000:00:05.400	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:03:814		
000:00:05.450	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:03:864		
000:00:05.500	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:03:914		
000:00:05.550	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:03:964		
000:00:05.600	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:04:014		
000:00:05.650	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:04:064		
000:00:05.700	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:04:114		
000:00:05.750	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:04:164		
000:00:05.800	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:04:214		
000:00:05.850	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:04:264		
000:00:05.900	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:04:314		
000:00:05.950	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:04:364		
000:00:06.000	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:04:414		
000:00:06.050	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:04:464		
000:00:06.100	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:04:514		
000:00:06.150	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:04:564		
000:00:06.200	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:04:614		
000:00:06.250	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:04:664		
000:00:06.300	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:04:714		
000:00:06.350	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:04:764		
000:00:06.400	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:04:814		
000:00:06.450	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:04:864		
000:00:06.500	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:04:914		
000:00:06.550	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:04:964		
000:00:06.600	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:05:014		
000:00:06.650	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:05:064		
000:00:06.700	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:05:114		
000:00:06.750	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:05:164		
000:00:06.800	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:05:214		
000:00:06.850	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:05:264		
000:00:06.900	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:05:314		
000:00:06.950	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:05:364		
000:00:07.000	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:05:414		
000:00:07.050	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:05:464		
000:00:07.100	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:05:514		
000:00:07.150	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:05:564		
000:00:07.200	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:05:614		
000:00:07.250	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:05:664		
000:00:07.300	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:05:714		
000:00:07.350	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:05:764		
000:00:07.400	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:05:814		
000:00:07.450	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:05:864		
000:00:07.500	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:05:914		
000:00:07.550	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:05:964		
000:00:07.600	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:06:014		
000:00:07.650	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:06:064		
000:00:07.700	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:06:114		
000:00:07.750	800.0	26.1	29.3	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:45:06:164		
