  2.0773560e+002  6.0632752e-010  3.6763306e-019
  1.9354248e+002  6.1068502e-010  3.7293619e-019
  1.8451050e+002  6.0970645e-010  3.7174196e-019
  1.7934937e+002  6.0448177e-010  3.6539821e-019
  1.7418823e+002  6.1227618e-010  3.7488213e-019
  1.6773682e+002  6.1416111e-010  3.7719387e-019
  1.6257568e+002  6.0605160e-010  3.6729854e-019
  1.5741455e+002  6.0246305e-010  3.6296172e-019
  1.4967285e+002  6.1040910e-010  3.7259927e-019
  1.4451172e+002  6.1152159e-010  3.7395866e-019
  1.3806030e+002  6.1309612e-010  3.7588685e-019
  1.3547974e+002  6.0560029e-010  3.6675172e-019
  1.2902832e+002  6.1067454e-010  3.7292339e-019
  1.2644775e+002  6.0458738e-010  3.6552590e-019
  1.2128662e+002  6.1311276e-010  3.7590725e-019
  1.1612549e+002  6.1135344e-010  3.7375303e-019
  1.1225464e+002  6.0955976e-010  3.7156311e-019
  1.0838379e+002  6.0887026e-010  3.7072299e-019
  1.0451294e+002  6.0859422e-010  3.7038692e-019
  1.0064209e+002  6.0385291e-010  3.6463834e-019
  9.6771240e+001  6.0905156e-010  3.7094380e-019
  9.1610107e+001  6.1219230e-010  3.7477941e-019
  9.0319824e+001  6.0386123e-010  3.6464839e-019
  8.6448975e+001  6.0552581e-010  3.6666150e-019
  8.3868408e+001  6.0891535e-010  3.7077790e-019
  7.9997559e+001  6.0547843e-010  3.6660413e-019
  7.4836426e+001  6.1607474e-010  3.7954809e-019
  7.0965576e+001  6.0722594e-010  3.6872335e-019
  7.0965576e+001  6.0330565e-010  3.6397771e-019
  6.5804443e+001  6.0162216e-010  3.6194922e-019
  6.0643311e+001  6.0620591e-010  3.6748561e-019
  5.9353027e+001  6.1198389e-010  3.7452428e-019
  5.6772461e+001  6.0135443e-010  3.6162715e-019
  5.5482178e+001  6.0727693e-010  3.6878528e-019
  5.1611328e+001  6.0385425e-010  3.6463995e-019
  4.7740479e+001  6.0887991e-010  3.7073475e-019
  4.3869629e+001  6.0808614e-010  3.6976875e-019
  4.2579346e+001  6.0008681e-010  3.6010418e-019
  3.8708496e+001  6.1119373e-010  3.7355778e-019
  3.6127930e+001  5.9793416e-010  3.5752526e-019
  3.3547363e+001  6.0469190e-010  3.6565229e-019
  2.9676514e+001  6.1092601e-010  3.7323059e-019
  2.8386230e+001  6.0376782e-010  3.6453558e-019
  2.7095947e+001  6.0278805e-010  3.6335343e-019
  2.3225098e+001  6.0782083e-010  3.6944616e-019
  1.9354248e+001  6.1384760e-010  3.7680888e-019
  1.8063965e+001  6.0339703e-010  3.6408798e-019
  1.5483398e+001  5.9950399e-010  3.5940503e-019
  1.0322266e+001  6.0267317e-010  3.6321496e-019
  6.4514160e+000  6.0833386e-010  3.7007009e-019
  6.4514160e+000  6.1168193e-010  3.7415479e-019
  3.8708496e+000  5.9909173e-010  3.5891090e-019
  1.2902832e+000  6.0542890e-010  3.6654416e-019
 -2.5805664e+000  6.0037009e-010  3.6044424e-019
 -3.8708496e+000  6.0465647e-010  3.6560944e-019
 -7.7416992e+000  6.1292003e-010  3.7567096e-019
 -1.0322266e+001  6.0795717e-010  3.6961192e-019
 -1.2902832e+001  6.0955894e-010  3.7156210e-019
 -1.2902832e+001  6.0019952e-010  3.6023947e-019
 -1.8063965e+001  6.0911824e-010  3.7102502e-019
 -1.9354248e+001  6.0061419e-010  3.6073740e-019
 -2.3225098e+001  5.9913091e-010  3.5895785e-019
 -2.5805664e+001  6.0443262e-010  3.6533879e-019
 -2.8386230e+001  6.0452978e-010  3.6545625e-019
 -3.0966797e+001  5.9647476e-010  3.5578213e-019
 -3.4837646e+001  6.0540058e-010  3.6650986e-019
 -3.7418213e+001  5.9610987e-010  3.5534698e-019
 -3.9998779e+001  6.0001715e-010  3.6002057e-019
 -4.3869629e+001  6.0464237e-010  3.6559239e-019
 -4.5159912e+001  5.9857533e-010  3.5829243e-019
 -4.9030762e+001  6.0412584e-010  3.6496804e-019
 -5.1611328e+001  6.0636263e-010  3.6767564e-019
 -5.4191895e+001  5.9698309e-010  3.5638881e-019
 -5.8062744e+001 -6.0589431e-010  3.6710791e-019
 -6.0643311e+001 -6.1402515e-010  3.7702689e-019
 -6.5804443e+001 -5.9611902e-010  3.5535788e-019
 -6.8385010e+001 -6.0340751e-010  3.6410062e-019
 -6.9675293e+001 -6.1675713e-010  3.8038936e-019
 -7.4836426e+001 -6.0705766e-010  3.6851901e-019
 -7.8707275e+001 -6.1070902e-010  3.7296551e-019
 -8.2578125e+001 -6.0439909e-010  3.6529826e-019
 -8.5158691e+001 -6.0892005e-010  3.7078362e-019
 -8.9029541e+001 -6.0564068e-010  3.6680064e-019
 -9.2900391e+001 -6.0706236e-010  3.6852471e-019
 -9.8061523e+001 -6.1281779e-010  3.7554565e-019
 -1.0193237e+002 -6.0812386e-010  3.6981463e-019
 -1.0580322e+002 -6.0842003e-010  3.7017494e-019
 -1.0967407e+002 -6.1599168e-010  3.7944575e-019
 -1.1612549e+002 -5.9802274e-010  3.5763120e-019
 -1.1741577e+002 -6.1382239e-010  3.7677793e-019
 -1.2386719e+002 -6.0898272e-010  3.7085996e-019
 -1.3031860e+002 -6.1154293e-010  3.7398475e-019
 -1.3547974e+002 -6.0613695e-010  3.6740200e-019
 -1.3806030e+002 -6.1062355e-010  3.7286112e-019
 -1.4451172e+002 -6.1197531e-010  3.7451378e-019
 -1.5225342e+002 -6.0542370e-010  3.6653785e-019
 -1.5612427e+002 -6.0943282e-010  3.7140837e-019
 -1.6257568e+002 -6.1699736e-010  3.8068574e-019
 -1.7160767e+002 -6.0437160e-010  3.6526503e-019
 -1.7418823e+002 -6.1823063e-010  3.8220911e-019
 -1.8322021e+002 -6.1052626e-010  3.7274232e-019
 -1.9225220e+002 -6.1798653e-010  3.8190735e-019
 -1.9096191e+002 -6.0277332e-010  3.6333567e-019
 -1.8322021e+002 -6.0682633e-010  3.6823819e-019
 -1.7676880e+002 -5.9930326e-010  3.5916439e-019
 -1.6902710e+002 -6.0753958e-010  3.6910434e-019
 -1.6386597e+002 -6.0371645e-010  3.6447355e-019
 -1.5354370e+002 -6.1719879e-010  3.8093434e-019
 -1.4967285e+002 -6.1245748e-010  3.7510417e-019
 -1.4580200e+002 -6.1086403e-010  3.7315486e-019
 -1.3935059e+002 -6.1263167e-010  3.7531756e-019
 -1.3418945e+002 -6.0781454e-010  3.6943852e-019
 -1.2902832e+002 -6.1082498e-010  3.7310715e-019
 -1.2515747e+002 -6.0801597e-010  3.6968342e-019
