Displacement	Load	Strain	Stress
mm	g	%	MPa
1.2	0.041	1.209189843	1.3602263733
1.3	0.211	1.451027811	7.0001893843
1.4	0.411	1.69286578	13.6354399855
1.5	1.071	1.934703748	35.5317669695
1.6	1.781	2.176541717	59.0869066039
1.7	2.381	2.418379686	78.9926584075
1.8	2.981	2.660217654	98.8984102112
1.9	2.381	2.902055623	78.9926584075
2	2.981	3.143893591	98.8984102112
2.1	3.481	3.38573156	115.4865367142
2.2	3.481	3.627569528	115.4865367142
2.3	3.981	3.869407497	132.0746632173
2.4	2.481	4.111245466	82.3102837081
2.5	2.481	4.353083434	82.3102837081
2.6	2.481	4.594921403	82.3102837081
2.7	3.981	4.836759371	132.0746632173
2.8	3.981	5.07859734	132.0746632173
2.9	3.981	5.320435308	132.0746632173
3	3.981	5.562273277	132.0746632173
3.1	3.981	5.804111245	132.0746632173
3.2	3.981	6.045949214	132.0746632173
3.3	3.981	6.287787183	132.0746632173
3.4	3.981	6.529625151	132.0746632173
3.5	3.981	6.77146312	132.0746632173
3.6	3.281	7.013301088	108.851286113
3.7	3.981	7.255139057	132.0746632173
3.8	3.981	7.496977025	132.0746632173
3.9	3.981	7.738814994	132.0746632173
4	3.981	7.980652963	132.0746632173
4.1	4.981	8.222490931	165.2509162234
4.2	4.481	8.4643289	148.6627897203
4.3	3.981	8.706166868	132.0746632173
4.4	4.481	8.948004837	148.6627897203
4.4	4.981	8.948004837	165.2509162234
4.5	4.981	9.189842805	165.2509162234
4.6	4.981	9.431680774	165.2509162234
4.7	4.981	9.673518742	165.2509162234
4.8	4.981	9.915356711	165.2509162234
4.9	4.981	10.15719468	165.2509162234
5	4.981	10.399032648	165.2509162234
5.1	4.981	10.640870617	165.2509162234
5.2	4.481	10.882708585	148.6627897203
5.3	3.981	11.124546554	132.0746632173
5.4	3.981	11.366384522	132.0746632173
5.5	3.981	11.608222491	132.0746632173
5.6	4.481	11.850060459	148.6627897203
5.7	4.481	12.091898428	148.6627897203
5.8	3.981	12.333736397	132.0746632173
5.9	3.981	12.575574365	132.0746632173
6	3.981	12.817412334	132.0746632173
6.1	4.481	13.059250302	148.6627897203
6.2	6.181	13.301088271	205.0624198307
6.3	6.781	13.542926239	224.9681716344
6.5	7.681	14.026602177	254.8267993399
6.6	8.481	14.268440145	281.3678017448
6.7	9.981	14.510278114	331.1321812539
6.6	8.181	14.268440145	271.4149258429
6.5	7.481	14.026602177	248.1915487387
6.4	6.181	13.784764208	205.0624198307
6.3	4.481	13.542926239	148.6627897203
6.2	4.481	13.301088271	148.6627897203
6.1	4.481	13.059250302	148.6627897203
6	3.981	12.817412334	132.0746632173
5.9	3.981	12.575574365	132.0746632173
5.8	3.981	12.333736397	132.0746632173
5.7	3.981	12.091898428	132.0746632173
5.6	3.981	11.850060459	132.0746632173
5.5	2.981	11.608222491	98.8984102112
5.4	2.981	11.366384522	98.8984102112
5.3	2.981	11.124546554	98.8984102112
5.2	2.981	10.882708585	98.8984102112
5.1	2.981	10.640870617	98.8984102112
5	2.981	10.399032648	98.8984102112
4.9	2.981	10.15719468	98.8984102112
4.8	3.481	9.915356711	115.4865367142
4.7	3.481	9.673518742	115.4865367142
4.6	3.481	9.431680774	115.4865367142
4.5	2.981	9.189842805	98.8984102112
4.4	2.981	8.948004837	98.8984102112
4.3	2.981	8.706166868	98.8984102112
4.2	2.981	8.4643289	98.8984102112
4.1	2.981	8.222490931	98.8984102112
4	3.481	7.980652963	115.4865367142
3.9	2.981	7.738814994	98.8984102112
3.8	2.481	7.496977025	82.3102837081
3.7	1.981	7.255139057	65.7221572051
3.6	1.981	7.013301088	65.7221572051
3.5	1.981	6.77146312	65.7221572051
3.4	1.981	6.529625151	65.7221572051
3.3	1.981	6.287787183	65.7221572051
3.2	1.981	6.045949214	65.7221572051
3.1	1.981	5.804111245	65.7221572051
3	1.181	5.562273277	39.1811548002
2.9	0.581	5.320435308	19.2754029965
2.8	1.181	5.07859734	39.1811548002
2.7	0.481	4.836759371	15.9577776959
2.6	0.481	4.594921403	15.9577776959
2.5	0.481	4.353083434	15.9577776959
2.4	0.481	4.111245466	15.9577776959
2.3	0.481	3.869407497	15.9577776959
2.2	0.481	3.627569528	15.9577776959
2.1	0.281	3.38573156	9.3225270947
2	0.181	3.143893591	6.0049017941
1.9	0.181	2.902055623	6.0049017941
