Displacement	Load	Strain	Stress
mm	g	%	MPa
0	0	0	0
0.1	0	0	0
0.2	0	0	0
0.3	0	0	0
0.4	0	0	0
0.5	0	0	0
0.6	0	0	0
0.7	0	0	0
0.8	0	0	0
0.9	0.01	0.230627306	0.3317625301
1	0.02	0.461254613	0.6635250601
1.1	0.06	0.691881919	1.9905751804
1.2	0.1	0.922509225	3.3176253006
1.3	0.3	1.153136531	9.9528759018
1.4	1	1.383763838	33.1762530061
1.5	2.4	1.614391144	79.6230072146
1.6	3	1.84501845	99.5287590183
1.7	4.1	2.075645756	136.022637325
1.8	4.6	2.306273063	152.6107638281
1.9	5.7	2.536900369	189.1046421348
2	6.8	2.767527675	225.5985204415
2.1	7.9	2.998154982	262.0923987482
2.2	7.7	3.228782288	255.457148147
2.3	8.8	3.459409594	291.9510264537
2.4	9.8	3.6900369	325.1272794598
2.5	10.6	3.920664207	351.6682818647
2.4	9.5	3.6900369	315.174403558
2.3	8.3	3.459409594	275.3628999507
2.2	6.9	3.228782288	228.9161457421
2.1	5.7	2.998154982	189.1046421348
2	4.5	2.767527675	149.2931385275
1.9	3.4	2.536900369	112.7992602208
1.8	2	2.306273063	66.3525060122
1.7	1.5	2.075645756	49.7643795092
1.6	0.6	1.84501845	19.9057518037
1.5	0.15	1.614391144	4.9764379509
1.4	0.07	1.383763838	2.3223377104
1.3	0.036	1.153136531	1.1943451082
1.2	0.022	0.922509225	0.7298775661
1.1	0.014	0.691881919	0.4644675421
1	0.008	0.461254613	0.265410024
0.9	0	0.230627306	0
0.8	0	0	0
0.7	0	-0.230627306	0
0.6	0	-0.461254613	0
0.5	0	-0.691881919	0
0.4	0	-0.922509225	0
0.3	0	-1.153136531	0
0.2	0	-1.383763838	0
0.1	0	-1.614391144	0
0	0	-1.84501845	0
0.1	0	-1.614391144	0
0.2	0	-1.383763838	0
0.3	0	-1.153136531	0
0.4	0	-0.922509225	0
0.5	0	-0.691881919	0
0.6	0	-0.461254613	0
0.7	0	-0.230627306	0
0.8	0	0	0
0.9	0	0.230627306	0
1	0	0.461254613	0
1.1	0.009	0.691881919	0.2985862771
1.2	0.02	0.922509225	0.6635250601
1.3	0.035	1.153136531	1.1611688552
1.4	0.09	1.383763838	2.9858627705
1.5	0.28	1.614391144	9.2893508417
1.6	1	1.84501845	33.1762530061
1.7	2.4	2.075645756	79.6230072146
1.8	3.6	2.306273063	119.434510822
1.9	4	2.536900369	132.7050120244
2	5.5	2.767527675	182.4693915336
2.1	6.7	2.998154982	222.2808951409
2.2	7.8	3.228782288	258.7747734476
2.3	8.9	3.459409594	295.2686517543
2.4	9.9	3.6900369	328.4449047604
2.5	11.2	3.920664207	371.5740336684
2.4	10.6	3.6900369	351.6682818647
2.3	9.5	3.459409594	315.174403558
2.2	8.2	3.228782288	272.04527465
2.1	6.9	2.998154982	228.9161457421
2	5.8	2.767527675	192.4222674354
1.9	4.9	2.536900369	162.5636397299
1.8	3.5	2.306273063	116.1168855214
1.7	2.2	2.075645756	72.9877566134
1.6	1.6	1.84501845	53.0820048098
1.5	0.5	1.614391144	16.5881265031
1.4	0.14	1.383763838	4.6446754209
1.3	0.06	1.153136531	1.9905751804
1.2	0.03	0.922509225	0.9952875902
1.1	0.019	0.691881919	0.6303488071
1	0.01	0.461254613	0.3317625301
0.9	0.006	0.230627306	0.199057518
0.8	0	0	0
0.7	0	-0.230627306	0
0.6	0	-0.461254613	0
0.5	0	-0.691881919	0
0.4	0	-0.922509225	0
0.3	0	-1.153136531	0
0.2	0	-1.383763838	0
0.1	0	-1.614391144	0
0	0	-1.84501845	0
