[Connect DataFile][2.1]
Date:	3/17/2025
Time:	08:16:34
Unit:	°C
Resolution:	0.050/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00.000	800.0	21.9	20.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:16:34:685		
000:00:00.050	800.0	21.9	20.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:16:34:735		
000:00:00.100	800.0	21.9	20.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:16:34:785		
000:00:00.150	800.0	21.9	20.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:16:34:835		
000:00:00.200	800.0	21.9	20.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:16:34:885		
000:00:00.250	800.0	21.9	20.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:16:34:935		
000:00:00.300	800.0	21.9	20.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:16:34:985		
000:00:00.350	800.0	21.9	20.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:16:35:035		
000:00:00.400	800.0	21.9	20.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:16:35:085		
000:00:00.450	800.0	21.9	20.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:16:35:135		
000:00:00.500	800.0	21.9	20.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:16:35:185		
000:00:00.550	800.0	21.9	20.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:16:35:235		
000:00:00.600	800.0	21.9	20.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:16:35:285		
000:00:00.650	800.0	21.9	20.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:16:35:335		
000:00:00.700	800.0	21.9	20.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:16:35:385		
000:00:00.750	800.0	21.9	20.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:16:35:435		
000:00:00.800	800.0	21.9	20.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:16:35:485		
000:00:00.850	800.0	21.9	20.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:16:35:535		
000:00:00.900	800.0	21.9	20.8	800.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		08:16:35:585		
