Sample Name, Ga23_11_1_36G
Freq, 36, GHz, Power, 15, dBm,
SR850: f = 25 Hz; phase = -83.5 deg; output = 5 V; sens. = 500 uV; tc = 300 ms; 12dB/oct
Time,Field,X,Y,R,theta
s,Oe,V,V,V,deg
2.890000E-5,-6.705000E+2,-3.665700E-6,-9.238760E-7,3.780331E-6,-1.658542E+2
5.019000E-3,-6.705000E+2,-3.665700E-6,-9.238760E-7,3.780331E-6,-1.658542E+2
2.055095E-1,-6.703000E+2,-2.771630E-6,-8.940740E-8,2.773072E-6,-1.781524E+2
4.054597E-1,-6.712000E+2,-5.960500E-7,1.132500E-6,1.279778E-6,1.177584E+2
6.054629E-1,-6.645000E+2,-6.854570E-7,2.592820E-6,2.681896E-6,1.048084E+2
8.064752E-1,-6.543000E+2,-2.384200E-6,2.771630E-6,3.656001E-6,1.307026E+2
1.005465E+0,-6.430000E+2,-3.248470E-6,1.877550E-6,3.752033E-6,1.499730E+2
1.206466E+0,-6.194000E+2,-2.414000E-6,1.341110E-6,2.761516E-6,1.509454E+2
1.405459E+0,-6.045000E+2,-1.490120E-6,8.940740E-8,1.492800E-6,1.765664E+2
1.605467E+0,-5.714000E+2,1.192100E-7,-1.072890E-6,1.079492E-6,-8.365981E+1
1.805520E+0,-5.558000E+2,-8.940730E-7,-1.221900E-6,1.514069E-6,-1.261932E+2
2.006462E+0,-5.214000E+2,-3.486890E-6,1.341110E-6,3.735904E-6,1.589625E+2
2.205459E+0,-5.050000E+2,-3.516690E-6,2.533210E-6,4.334081E-6,1.442333E+2
2.406466E+0,-4.906000E+2,-3.218670E-6,2.950440E-6,4.366341E-6,1.374896E+2
2.605471E+0,-4.616000E+2,-1.668940E-6,2.890840E-6,3.338011E-6,1.199987E+2
2.805459E+0,-4.493000E+2,-1.937170E-6,2.384200E-6,3.071976E-6,1.290940E+2
3.006462E+0,-4.233000E+2,-1.817950E-6,2.354400E-6,2.974583E-6,1.276735E+2
3.205457E+0,-4.095000E+2,-2.294790E-6,1.579530E-6,2.785853E-6,1.454599E+2
3.405457E+0,-3.993000E+2,-1.460320E-6,1.519930E-6,2.107776E-6,1.338541E+2
3.606463E+0,-3.754000E+2,-9.238760E-7,-8.940740E-8,9.281921E-7,-1.744725E+2
3.805513E+0,-3.671000E+2,-1.549730E-6,1.192100E-7,1.554308E-6,1.756013E+2
4.005461E+0,-3.455000E+2,-4.917410E-6,1.728540E-6,5.212367E-6,1.606327E+2
4.206465E+0,-3.376000E+2,-5.185630E-6,1.907360E-6,5.525286E-6,1.598057E+2
4.406467E+0,-3.185000E+2,-7.212190E-6,3.278270E-7,7.219637E-6,1.773974E+2
4.606469E+0,-3.104000E+2,-7.003570E-6,-5.960510E-8,7.003824E-6,-1.795124E+2
4.805463E+0,-2.902000E+2,-5.960490E-6,1.430520E-6,6.129749E-6,1.665042E+2
5.005502E+0,-2.814000E+2,-5.364450E-6,1.698740E-6,5.626992E-6,1.624288E+2
5.206506E+0,-2.703000E+2,-4.500180E-6,2.026570E-6,4.935444E-6,1.557565E+2
5.405471E+0,-2.507000E+2,-3.457080E-6,1.281510E-6,3.686959E-6,1.596607E+2
5.605459E+0,-2.297000E+2,-4.887610E-6,1.639140E-6,5.155144E-6,1.614603E+2
5.805464E+0,-2.194000E+2,-5.066420E-6,2.682220E-6,5.732619E-6,1.521028E+2
6.005462E+0,-2.060000E+2,-4.172350E-6,3.486890E-6,5.437546E-6,1.401140E+2
6.205463E+0,-1.864000E+2,-1.698740E-6,2.533210E-6,3.050061E-6,1.238453E+2
6.405461E+0,-1.750000E+2,-5.364450E-7,2.324600E-6,2.385695E-6,1.029946E+2
6.605465E+0,-1.557000E+2,-2.920640E-6,5.960500E-7,2.980841E-6,1.684654E+2
6.805472E+0,-1.447000E+2,-3.069650E-6,-8.046660E-7,3.173364E-6,-1.653112E+2
7.005462E+0,-1.358000E+2,-2.712030E-6,-6.258520E-7,2.783307E-6,-1.670054E+2
7.206468E+0,-1.129000E+2,-1.490120E-6,1.251700E-6,1.946076E-6,1.399698E+2
7.405469E+0,-1.032000E+2,-1.192100E-6,7.450620E-7,1.405781E-6,1.479946E+2
7.606462E+0,-8.270000E+1,-1.788150E-6,7.450620E-7,1.937162E-6,1.573802E+2
7.805460E+0,-7.350000E+1,-2.115980E-6,2.682230E-7,2.132912E-6,1.727757E+2
8.005457E+0,-5.250000E+1,-2.205390E-6,9.238760E-7,2.391086E-6,1.572704E+2
8.205462E+0,-4.360000E+1,-2.652420E-6,9.238760E-7,2.808715E-6,1.607960E+2
8.405459E+0,-2.250000E+1,-3.516690E-6,2.086170E-7,3.522872E-6,1.766051E+2
8.605460E+0,-1.360000E+1,-3.635900E-6,3.874320E-7,3.656484E-6,1.739177E+2
8.805465E+0,7.600000E+0,-3.576290E-6,-2.384200E-7,3.584229E-6,-1.761859E+2
9.005466E+0,1.690000E+1,-3.635900E-6,-2.682230E-7,3.645780E-6,-1.757809E+2
9.205461E+0,3.780000E+1,-4.231960E-6,3.874320E-7,4.249658E-6,1.747692E+2
9.405458E+0,4.760000E+1,-3.457080E-6,-1.192100E-7,3.459135E-6,-1.780251E+2
9.605462E+0,6.790000E+1,-5.960500E-7,-1.162300E-6,1.306222E-6,-1.171496E+2
9.805459E+0,7.820000E+1,1.162300E-6,-2.443800E-6,2.706123E-6,-6.456369E+1
1.000644E+1,9.780000E+1,1.817950E-6,-2.592820E-6,3.166648E-6,-5.496387E+1
1.020547E+1,1.104000E+2,2.801430E-6,-3.099460E-6,4.177878E-6,-4.789132E+1
1.040546E+1,1.215000E+2,3.218670E-6,-2.384200E-6,4.005527E-6,-3.652886E+1
1.060546E+1,1.405000E+2,3.039850E-6,2.980250E-7,3.054424E-6,5.599349E+0
1.080654E+1,1.516000E+2,1.698740E-6,1.132500E-6,2.041635E-6,3.369022E+1
1.100546E+1,1.728000E+2,1.549730E-6,-5.960510E-8,1.550876E-6,-2.202602E+0
1.120552E+1,1.841000E+2,2.026570E-6,-1.907360E-6,2.782985E-6,-4.326430E+1
1.140546E+1,1.935000E+2,3.457080E-6,-4.798200E-6,5.913893E-6,-5.422743E+1
1.160647E+1,2.174000E+2,4.857810E-6,-6.437330E-6,8.064585E-6,-5.296066E+1
1.180546E+1,2.268000E+2,4.470380E-6,-6.586340E-6,7.960162E-6,-5.583389E+1
1.200546E+1,2.498000E+2,4.917410E-6,-7.808270E-6,9.227676E-6,-5.779853E+1
1.220547E+1,2.598000E+2,4.023340E-6,-7.569820E-6,8.572598E-6,-6.200947E+1
1.240546E+1,2.718000E+2,3.486890E-6,-7.897670E-6,8.633168E-6,-6.617813E+1
1.260547E+1,2.928000E+2,6.020100E-6,-5.513460E-6,8.163323E-6,-4.248476E+1
1.280546E+1,3.049000E+2,6.794960E-6,-4.559780E-6,8.183097E-6,-3.386372E+1
1.300546E+1,3.144000E+2,6.288320E-6,-3.904130E-6,7.401702E-6,-3.183425E+1
1.320547E+1,3.381000E+2,3.486890E-6,-3.010050E-6,4.606387E-6,-4.080233E+1
1.340546E+1,3.470000E+2,3.963740E-6,-2.622620E-6,4.752828E-6,-3.349073E+1
1.360542E+1,3.683000E+2,4.410770E-6,-1.966970E-6,4.829479E-6,-2.403434E+1
1.380547E+1,3.776000E+2,5.126030E-6,-1.013290E-6,5.225222E-6,-1.118181E+1
1.400646E+1,4.017000E+2,6.377730E-6,-5.066430E-7,6.397822E-6,-4.542004E+0
1.420545E+1,4.108000E+2,6.765160E-6,-7.748640E-7,6.809391E-6,-6.534037E+0
1.440646E+1,4.219000E+2,5.543260E-6,-7.450620E-7,5.593107E-6,-7.655169E+0
1.460547E+1,4.442000E+2,4.559780E-6,-2.533210E-6,5.216200E-6,-2.905459E+1
1.480546E+1,4.544000E+2,2.264990E-6,-4.470380E-6,5.011435E-6,-6.313021E+1
1.500546E+1,4.778000E+2,2.026570E-6,-5.751880E-6,6.098451E-6,-7.059102E+1
1.520546E+1,4.883000E+2,1.996770E-6,-5.066420E-6,5.445705E-6,-6.848968E+1
1.540546E+1,5.015000E+2,2.473610E-6,-4.738600E-6,5.345379E-6,-6.243486E+1
1.560546E+1,5.209000E+2,2.682220E-6,-4.619390E-6,5.341635E-6,-5.985868E+1
1.580546E+1,5.341000E+2,2.294790E-6,-3.278270E-6,4.001639E-6,-5.500797E+1
1.600646E+1,5.446000E+2,2.294790E-6,-2.324600E-6,3.266470E-6,-4.536974E+1
1.620546E+1,5.649000E+2,3.695500E-6,-2.235190E-6,4.318888E-6,-3.116727E+1
1.640647E+1,5.779000E+2,4.112750E-6,-8.642710E-7,4.202580E-6,-1.186770E+1
1.660546E+1,5.976000E+2,3.427280E-6,2.384200E-7,3.435563E-6,3.979391E+0
1.680546E+1,6.086000E+2,2.920640E-6,-3.576300E-7,2.942454E-6,-6.981069E+0
1.700547E+1,6.288000E+2,3.099460E-6,-4.768410E-7,3.135926E-6,-8.746180E+0
1.720546E+1,6.392000E+2,3.397480E-6,-1.400720E-6,3.674900E-6,-2.240548E+1
1.740546E+1,6.597000E+2,3.427280E-6,-2.861040E-6,4.464504E-6,-3.985460E+1
1.760547E+1,6.696000E+2,3.904130E-6,-3.576290E-6,5.294533E-6,-4.249054E+1
1.780546E+1,6.907000E+2,2.115980E-6,-4.619390E-6,5.080958E-6,-6.538915E+1
1.800647E+1,7.002000E+2,8.344690E-7,-4.738600E-6,4.811514E-6,-8.001260E+1
1.820643E+1,7.105000E+2,-9.238760E-7,-3.010050E-6,3.148642E-6,-1.070628E+2
1.840643E+1,7.341000E+2,-8.046660E-7,-8.344690E-7,1.159235E-6,-1.339584E+2
1.860643E+1,7.437000E+2,-4.768410E-7,-2.205390E-6,2.256352E-6,-1.022005E+2
1.880646E+1,7.680000E+2,1.788150E-7,-4.112750E-6,4.116635E-6,-8.751045E+1
1.900547E+1,7.773000E+2,7.152590E-7,-4.053140E-6,4.115767E-6,-7.999204E+1
1.920547E+1,7.886000E+2,1.609330E-6,-3.963740E-6,4.277988E-6,-6.790221E+1
1.940547E+1,8.115000E+2,2.592820E-6,-3.188860E-6,4.109932E-6,-5.088590E+1
1.960646E+1,8.219000E+2,1.013290E-6,-1.698740E-6,1.977998E-6,-5.918413E+1
1.980546E+1,8.363000E+2,4.470370E-7,-1.728540E-6,1.785411E-6,-7.549981E+1
2.000646E+1,8.583000E+2,1.490120E-6,8.940730E-7,1.737764E-6,3.096379E+1
2.020647E+1,8.698000E+2,1.549730E-6,5.066430E-7,1.630445E-6,1.810378E+1
2.040547E+1,8.898000E+2,2.086170E-7,5.960510E-8,2.169650E-7,1.594546E+1
2.060550E+1,9.034000E+2,7.748640E-7,3.874320E-7,8.663243E-7,2.656505E+1
2.080546E+1,9.143000E+2,1.192100E-6,4.470370E-7,1.273163E-6,2.055602E+1
2.100547E+1,9.354000E+2,1.907360E-6,2.205390E-6,2.915779E-6,4.914469E+1
2.120647E+1,9.459000E+2,2.980250E-6,2.145780E-6,3.672365E-6,3.575389E+1
2.140547E+1,9.674000E+2,5.662480E-7,1.698740E-6,1.790630E-6,7.156501E+1
2.160646E+1,9.772000E+2,3.278270E-7,8.642710E-7,9.243565E-7,6.922774E+1
2.180546E+1,9.991000E+2,1.847750E-6,-5.066430E-7,1.915951E-6,-1.533334E+1
2.200647E+1,1.008300E+3,2.205390E-6,8.940730E-7,2.379729E-6,2.206781E+1
2.220545E+1,1.032700E+3,1.937170E-6,-5.066430E-7,2.002327E-6,-1.465671E+1
2.240546E+1,1.042800E+3,1.400720E-6,0.000000E+0,1.400720E-6,0.000000E+0
2.260547E+1,1.055300E+3,7.450620E-7,2.384200E-7,7.822797E-7,1.774468E+1
2.280645E+1,1.077700E+3,-5.960510E-8,1.490120E-6,1.491312E-6,9.229062E+1
2.300547E+1,1.090300E+3,2.980250E-8,1.132500E-6,1.132892E-6,8.849257E+1
2.320646E+1,1.112400E+3,2.652420E-6,-7.450620E-7,2.755077E-6,-1.569000E+1
2.340557E+1,1.122200E+3,2.801430E-6,-1.728540E-6,3.291787E-6,-3.167544E+1
2.360646E+1,1.132800E+3,2.443800E-6,-2.264990E-6,3.332017E-6,-4.282532E+1
2.380546E+1,1.156400E+3,2.712030E-6,8.940740E-8,2.713503E-6,1.888184E+0
2.400546E+1,1.167400E+3,3.904130E-6,8.642710E-7,3.998649E-6,1.248246E+1
2.420546E+1,1.187400E+3,4.798200E-6,9.238760E-7,4.886335E-6,1.089871E+1
2.440646E+1,1.198800E+3,4.649190E-6,1.221900E-6,4.807079E-6,1.472545E+1
2.460549E+1,1.218600E+3,2.592820E-6,6.556550E-7,2.674434E-6,1.419108E+1
2.480547E+1,1.231700E+3,2.115980E-6,1.281510E-6,2.473790E-6,3.120053E+1
2.500546E+1,1.242600E+3,2.920640E-6,1.460320E-6,3.265375E-6,2.656505E+1
2.520646E+1,1.264700E+3,3.516690E-6,-5.960500E-7,3.566845E-6,-9.619741E+0
