Sample Name, Ga23_5_4_36G
Freq, 36, GHz, Power, 15, dBm,
SR850: f = 25 Hz; phase = -83.5 deg; output = 5 V; sens. = 500 uV; tc = 300 ms; 12dB/oct
Time,Field,X,Y,R,theta
s,Oe,V,V,V,deg
1.206288E+1,7.814000E+2,-1.192100E-6,1.788150E-6,2.149089E-6,1.236901E+2
1.226192E+1,8.052000E+2,-3.874320E-7,2.771630E-6,2.798578E-6,9.795752E+1
1.246289E+1,8.146000E+2,8.940740E-8,1.788150E-6,1.790384E-6,8.713760E+1
1.266290E+1,8.392000E+2,1.937170E-6,2.473610E-6,3.141874E-6,5.193427E+1
1.286188E+1,8.489000E+2,2.086180E-6,2.741830E-6,3.445255E-6,5.273353E+1
1.306196E+1,8.605000E+2,2.235190E-6,2.920640E-6,3.677800E-6,5.257287E+1
1.326192E+1,8.796000E+2,7.152590E-7,1.519930E-6,1.679816E-6,6.479894E+1
1.346188E+1,8.939000E+2,4.768410E-7,1.311310E-6,1.395318E-6,7.001686E+1
1.366188E+1,9.138000E+2,-2.682230E-7,8.046660E-7,8.481928E-7,1.084350E+2
1.386289E+1,9.252000E+2,-1.490130E-7,2.682230E-7,3.068362E-7,1.190546E+2
1.406291E+1,9.352000E+2,-3.576300E-7,2.980250E-8,3.588696E-7,1.752364E+2
1.426188E+1,9.591000E+2,-1.966970E-6,5.960500E-7,2.055297E-6,1.631416E+2
1.446288E+1,9.699000E+2,-1.668940E-6,7.748640E-7,1.840048E-6,1.550953E+2
1.466191E+1,9.908000E+2,1.817950E-6,8.940740E-8,1.820147E-6,2.815557E+0
1.486192E+1,1.001000E+3,2.622620E-6,-2.980250E-8,2.622789E-6,-6.510604E-1
1.506292E+1,1.022700E+3,1.370910E-6,-1.788150E-7,1.382523E-6,-7.431435E+0
1.526288E+1,1.035700E+3,1.251700E-6,-1.519930E-6,1.968995E-6,-5.052770E+1
1.546188E+1,1.056300E+3,1.996770E-6,-2.890840E-6,3.513410E-6,-5.536627E+1
1.566288E+1,1.066700E+3,1.043090E-6,-1.490120E-6,1.818927E-6,-5.500783E+1
1.586291E+1,1.087700E+3,-7.450620E-7,-8.940740E-8,7.504073E-7,-1.731572E+2
1.606192E+1,1.097500E+3,-1.102690E-6,-1.788150E-7,1.117094E-6,-1.707890E+2
1.626292E+1,1.107600E+3,-3.874320E-7,-1.192100E-7,4.053573E-7,-1.628973E+2
1.646192E+1,1.131900E+3,7.748640E-7,-1.192100E-7,7.839804E-7,-8.746174E+0
1.666189E+1,1.141200E+3,2.384200E-6,-9.834840E-7,2.579079E-6,-2.241618E+1
1.686293E+1,1.166000E+3,5.066420E-6,-1.609330E-6,5.315878E-6,-1.762226E+1
1.706188E+1,1.175500E+3,5.006820E-6,-4.172340E-7,5.024175E-6,-4.763630E+0
1.726188E+1,1.188200E+3,4.917410E-6,-6.854570E-7,4.964954E-6,-7.935549E+0
1.746288E+1,1.209800E+3,4.887610E-6,-2.980250E-7,4.896688E-6,-3.489325E+0
1.766188E+1,1.219800E+3,5.394250E-6,1.430520E-6,5.580710E-6,1.485259E+1
1.786193E+1,1.240800E+3,5.751880E-6,3.427280E-6,6.695549E-6,3.078876E+1
1.806289E+1,1.251300E+3,4.649190E-6,1.311310E-6,4.830580E-6,1.575117E+1
1.826191E+1,1.274600E+3,2.175580E-6,1.460320E-6,2.620245E-6,3.387080E+1
1.846188E+1,1.284300E+3,1.281510E-6,2.056370E-6,2.422999E-6,5.806924E+1
1.866290E+1,1.295700E+3,2.682230E-7,1.341110E-6,1.367669E-6,7.869003E+1
1.886187E+1,1.315200E+3,-1.937170E-6,5.960500E-7,2.026796E-6,1.628973E+2
1.906202E+1,1.326400E+3,-2.533210E-6,8.940730E-7,2.686358E-6,1.605600E+2
1.926288E+1,1.346200E+3,-4.023340E-6,3.010050E-6,5.024706E-6,1.431981E+2
1.946288E+1,1.356800E+3,-4.678990E-6,3.904130E-6,6.093864E-6,1.401585E+2
1.966188E+1,1.379700E+3,-2.056370E-6,3.039850E-6,3.670061E-6,1.240772E+2
1.986288E+1,1.390100E+3,-3.278270E-7,3.039850E-6,3.057476E-6,9.615517E+1
2.006288E+1,1.410200E+3,1.162300E-6,2.682220E-6,2.923225E-6,6.657122E+1
2.026192E+1,1.420000E+3,6.854570E-7,2.741830E-6,2.826214E-6,7.596377E+1
2.046189E+1,1.439600E+3,1.370910E-6,6.556550E-7,1.519631E-6,2.556005E+1
2.066192E+1,1.449800E+3,1.847750E-6,7.152590E-7,1.981357E-6,2.116129E+1
2.086193E+1,1.470000E+3,1.370910E-6,-1.490130E-7,1.378985E-6,-6.203491E+0
2.106192E+1,1.479700E+3,1.907360E-6,6.556550E-7,2.016905E-6,1.897041E+1
2.126193E+1,1.500200E+3,8.940740E-8,8.046660E-7,8.096178E-7,8.365980E+1
2.146292E+1,1.509500E+3,-1.668940E-6,-1.788150E-7,1.678492E-6,-1.738845E+2
2.166288E+1,1.521500E+3,-1.311310E-6,-2.980250E-7,1.344750E-6,-1.671957E+2
2.186288E+1,1.542600E+3,5.960500E-7,1.281510E-6,1.413345E-6,6.505614E+1
2.206188E+1,1.552000E+3,9.834840E-7,1.490120E-6,1.785413E-6,5.657506E+1
2.226289E+1,1.575600E+3,7.152590E-7,1.013290E-6,1.240303E-6,5.478258E+1
2.246192E+1,1.585200E+3,7.450620E-7,-1.788150E-7,7.662194E-7,-1.349574E+1
2.266191E+1,1.598200E+3,4.470370E-7,-1.907360E-6,1.959047E-6,-7.680940E+1
2.286192E+1,1.617600E+3,-4.768410E-7,-1.460320E-6,1.536200E-6,-1.080835E+2
2.306192E+1,1.628900E+3,-1.162300E-6,-1.192100E-7,1.168397E-6,-1.741440E+2
2.326192E+1,1.648300E+3,-1.817950E-6,5.066430E-7,1.887228E-6,1.644274E+2
2.346288E+1,1.659600E+3,-1.937170E-6,2.384200E-7,1.951787E-6,1.729835E+2
2.366291E+1,1.679100E+3,-1.966970E-6,8.940740E-8,1.969001E-6,1.773975E+2
2.386192E+1,1.692200E+3,-1.639140E-6,-1.788150E-7,1.648865E-6,-1.737742E+2
2.406288E+1,1.702600E+3,-1.460320E-6,-3.576300E-7,1.503474E-6,-1.662392E+2
2.426288E+1,1.724600E+3,7.450620E-7,-5.364450E-7,9.180907E-7,-3.575391E+1
2.446188E+1,1.735600E+3,9.238760E-7,-5.960500E-7,1.099465E-6,-3.282858E+1
2.466291E+1,1.744600E+3,1.847750E-6,-3.874320E-7,1.887931E-6,-1.184209E+1
2.486187E+1,1.768000E+3,1.728540E-6,6.258520E-7,1.838353E-6,1.990379E+1
2.506192E+1,1.777400E+3,5.066430E-7,-6.258520E-7,8.052191E-7,-5.100896E+1
2.526288E+1,1.798100E+3,-1.043090E-6,1.192100E-7,1.049880E-6,1.734802E+2
2.546188E+1,1.807100E+3,-1.370910E-6,6.556550E-7,1.519631E-6,1.544400E+2
2.566189E+1,1.828100E+3,-3.874320E-7,-1.788150E-7,4.267064E-7,-1.552248E+2
2.586288E+1,1.837000E+3,3.874320E-7,-1.490120E-6,1.539663E-6,-7.542576E+1
2.606291E+1,1.858000E+3,1.788150E-6,-1.728540E-6,2.487033E-6,-4.402890E+1
2.626194E+1,1.869800E+3,2.056370E-6,-2.205390E-6,3.015361E-6,-4.700263E+1
2.646190E+1,1.891000E+3,2.503410E-6,-1.937170E-6,3.165389E-6,-3.773315E+1
2.666191E+1,1.899900E+3,1.162300E-6,-1.877550E-6,2.208197E-6,-5.824036E+1
2.686192E+1,1.910500E+3,-5.960500E-7,-1.966970E-6,2.055297E-6,-1.068584E+2
2.706191E+1,1.933000E+3,1.788150E-7,1.132500E-6,1.146530E-6,8.102741E+1
2.726197E+1,1.942800E+3,7.152590E-7,0.000000E+0,7.152590E-7,0.000000E+0
2.746192E+1,1.963100E+3,7.748640E-7,-2.801430E-6,2.906617E-6,-7.453878E+1
2.766288E+1,1.973300E+3,7.152590E-7,-2.294790E-6,2.403676E-6,-7.268836E+1
2.786187E+1,1.993100E+3,-9.238760E-7,-1.996770E-6,2.200145E-6,-1.148293E+2
2.806287E+1,2.004100E+3,-6.258520E-7,-1.937170E-6,2.035760E-6,-1.079044E+2
2.826287E+1,2.023600E+3,-4.768410E-7,-1.370910E-6,1.451472E-6,-1.091791E+2
2.846192E+1,2.036600E+3,-2.384200E-7,-1.490120E-6,1.509073E-6,-9.909031E+1
2.866187E+1,2.047800E+3,1.013290E-6,-2.175580E-6,2.399980E-6,-6.502596E+1
2.886293E+1,2.070100E+3,2.354400E-6,-5.364450E-7,2.414741E-6,-1.283560E+1
2.906192E+1,2.081000E+3,2.443800E-6,2.384200E-7,2.455403E-6,5.572209E+0
2.926192E+1,2.090000E+3,-1.192100E-7,2.086170E-7,2.402750E-7,1.197449E+2
2.946288E+1,2.113800E+3,-3.010050E-6,-7.450620E-7,3.100890E-6,-1.660973E+2
2.966195E+1,2.122900E+3,-2.652420E-6,-8.344690E-7,2.780588E-6,-1.625361E+2
2.986191E+1,2.145900E+3,-6.258520E-7,-4.768410E-7,7.868088E-7,-1.426960E+2
3.006192E+1,2.155800E+3,1.043090E-6,-3.278270E-7,1.093393E-6,-1.744712E+1
3.026191E+1,2.176100E+3,1.221900E-6,7.748640E-7,1.446877E-6,3.238070E+1
3.046192E+1,2.185500E+3,8.344690E-7,5.364450E-7,9.920241E-7,3.273526E+1
3.066292E+1,2.195400E+3,0.000000E+0,5.364450E-7,5.364450E-7,9.000000E+1
3.086291E+1,2.218600E+3,-4.768410E-7,1.132500E-6,1.228794E-6,1.128336E+2
3.106188E+1,2.227700E+3,-1.460320E-6,1.668940E-6,2.217633E-6,1.311859E+2
3.126288E+1,2.251500E+3,-2.831240E-6,2.533210E-6,3.799088E-6,1.381799E+2
3.146188E+1,2.260400E+3,-3.248470E-6,2.861040E-6,4.328754E-6,1.386285E+2
3.166192E+1,2.281200E+3,-2.235190E-6,3.576300E-7,2.263620E-6,1.709097E+2
3.186193E+1,2.290100E+3,-1.549730E-6,-2.682230E-7,1.572770E-6,-1.701807E+2
3.206189E+1,2.301200E+3,-8.642710E-7,5.960500E-7,1.049876E-6,1.454077E+2
3.226188E+1,2.323000E+3,-9.238760E-7,2.831240E-6,2.978165E-6,1.080723E+2
3.246288E+1,2.333500E+3,-9.238760E-7,3.695500E-6,3.809234E-6,1.040363E+2
3.266188E+1,2.353300E+3,-1.341110E-6,3.367680E-6,3.624892E-6,1.117139E+2
3.286188E+1,2.364300E+3,-6.556550E-7,2.563010E-6,2.645544E-6,1.043494E+2
3.306294E+1,2.383800E+3,-1.072890E-6,2.175580E-6,2.425746E-6,1.162503E+2
3.326188E+1,2.395100E+3,2.980250E-8,2.473610E-6,2.473790E-6,8.930973E+1
3.346288E+1,2.404800E+3,-9.834840E-7,2.801430E-6,2.969049E-6,1.093444E+2
3.366288E+1,2.427500E+3,-2.533210E-6,2.175580E-6,3.339207E-6,1.393432E+2
3.386189E+1,2.438000E+3,-3.755110E-6,1.370910E-6,3.997530E-6,1.599440E+2
3.406291E+1,2.458100E+3,-5.155830E-6,-1.341110E-6,5.327397E-6,-1.654196E+2
3.426288E+1,2.468000E+3,-4.828010E-6,-2.622620E-6,5.494344E-6,-1.514888E+2
3.446192E+1,2.488400E+3,-1.341110E-6,-2.592820E-6,2.919125E-6,-1.173498E+2
3.466291E+1,2.500600E+3,-3.874320E-7,-1.460320E-6,1.510840E-6,-1.048586E+2
3.486291E+1,2.510300E+3,-1.013290E-6,-2.682230E-7,1.048189E-6,-1.651736E+2
3.506191E+1,2.533800E+3,-1.877550E-6,2.592820E-6,3.201236E-6,1.259096E+2
3.526192E+1,2.542800E+3,-1.758340E-6,2.741830E-6,3.257206E-6,1.226721E+2
3.546288E+1,2.563900E+3,-2.920640E-6,2.622620E-6,3.925337E-6,1.380774E+2
3.566188E+1,2.573300E+3,-2.712030E-6,1.579530E-6,3.138474E-6,1.497828E+2
3.586188E+1,2.593900E+3,-1.519930E-6,-5.960500E-7,1.632625E-6,-1.585871E+2
3.606289E+1,2.603900E+3,-6.854570E-7,-1.460320E-6,1.613191E-6,-1.151448E+2
3.626192E+1,2.627200E+3,2.384200E-7,8.642710E-7,8.965537E-7,7.457781E+1
3.646192E+1,2.636300E+3,4.768410E-7,6.854570E-7,8.350022E-7,5.517544E+1
3.666191E+1,2.647500E+3,1.162300E-6,1.430520E-6,1.843184E-6,5.090608E+1
3.686292E+1,2.666700E+3,2.026570E-6,2.682220E-6,3.361739E-6,5.292688E+1
3.706287E+1,2.687000E+3,1.430520E-6,9.834840E-7,1.735980E-6,3.450856E+1
3.726288E+1,2.697200E+3,1.400720E-6,-2.682230E-7,1.426170E-6,-1.084031E+1
3.746190E+1,2.708200E+3,1.907360E-6,-9.536820E-7,2.132494E-6,-2.656510E+1
3.766188E+1,2.727800E+3,2.294790E-6,-1.609330E-6,2.802856E-6,-3.504188E+1
3.786291E+1,2.738300E+3,8.344690E-7,-1.341110E-6,1.579530E-6,-5.810919E+1
3.806288E+1,2.758600E+3,-1.490120E-6,-1.579530E-6,2.171491E-6,-1.333316E+2
3.826188E+1,2.771500E+3,-2.890840E-6,-1.460320E-6,3.238748E-6,-1.531992E+2
3.846288E+1,2.790900E+3,-9.536820E-7,-1.698740E-6,1.948134E-6,-1.193101E+2
3.866191E+1,2.801500E+3,2.980250E-7,-2.086180E-6,2.107360E-6,-8.186992E+1
