Sample Name, Ga23_10_5_36G
Freq, 36, GHz, Power, 15, dBm,
SR850: f = 25 Hz; phase = -83.5 deg; output = 5 V; sens. = 500 uV; tc = 300 ms; 12dB/oct
Time,Field,X,Y,R,theta
s,Oe,V,V,V,deg
2.990000E-5,-6.699000E+2,5.960510E-8,-6.258520E-7,6.286839E-7,-8.455966E+1
1.905628E-1,-6.693000E+2,-8.940740E-8,-6.258520E-7,6.322060E-7,-9.813010E+1
3.908289E-1,-6.692000E+2,2.980250E-7,-1.221900E-6,1.257720E-6,-7.629301E+1
5.900310E-1,-6.625000E+2,-1.490130E-7,-1.668940E-6,1.675579E-6,-9.510218E+1
7.902537E-1,-6.540000E+2,-8.940740E-8,-1.311310E-6,1.314354E-6,-9.390049E+1
9.901933E-1,-6.333000E+2,1.311310E-6,-2.682230E-7,1.338461E-6,-1.156015E+1
1.190387E+0,-6.197000E+2,1.639140E-6,-5.960510E-8,1.640223E-6,-2.082566E+0
1.390599E+0,-5.919000E+2,2.205390E-6,-5.960500E-7,2.284518E-6,-1.512397E+1
1.590799E+0,-5.764000E+2,1.490120E-6,-2.980250E-7,1.519630E-6,-1.130997E+1
1.789892E+0,-5.455000E+2,4.172340E-7,4.768410E-7,6.336099E-7,4.881420E+1
1.989965E+0,-5.300000E+2,-9.238760E-7,2.086170E-7,9.471367E-7,1.672757E+2
2.190219E+0,-4.992000E+2,-9.238760E-7,-1.490120E-6,1.753284E-6,-1.217990E+2
2.390278E+0,-4.809000E+2,1.192100E-7,-6.854570E-7,6.957459E-7,-8.013419E+1
2.590371E+0,-4.528000E+2,9.238760E-7,-1.102690E-6,1.438566E-6,-5.004243E+1
2.790998E+0,-4.409000E+2,7.748640E-7,-1.370910E-6,1.574741E-6,-6.052405E+1
2.990266E+0,-4.166000E+2,7.450620E-7,-7.748640E-7,1.074957E-6,-4.612329E+1
3.190416E+0,-4.058000E+2,6.258520E-7,1.788150E-7,6.508959E-7,1.594541E+1
3.390676E+0,-3.844000E+2,2.324600E-6,8.940740E-8,2.326319E-6,2.202591E+0
3.590799E+0,-3.755000E+2,2.682220E-6,-1.192100E-7,2.684868E-6,-2.544809E+0
3.791001E+0,-3.562000E+2,2.831240E-6,3.278270E-7,2.850156E-6,6.604820E+0
3.991172E+0,-3.483000E+2,2.414000E-6,0.000000E+0,2.414000E-6,0.000000E+0
4.191416E+0,-3.293000E+2,2.384200E-6,2.384200E-7,2.396091E-6,5.710593E+0
4.391871E+0,-3.212000E+2,2.592820E-6,3.278270E-7,2.613462E-6,7.206039E+0
4.589939E+0,-3.108000E+2,2.473610E-6,-2.384200E-7,2.485074E-6,-5.505472E+0
4.789967E+0,-2.896000E+2,1.192100E-6,-2.503410E-6,2.772754E-6,-6.453666E+1
4.990052E+0,-2.793000E+2,1.937170E-6,-3.010050E-6,3.579529E-6,-5.723599E+1
5.190188E+0,-2.593000E+2,2.086180E-6,-2.950440E-6,3.613481E-6,-5.473686E+1
5.390271E+0,-2.482000E+2,1.788150E-6,-2.920640E-6,3.424561E-6,-5.852312E+1
5.591529E+0,-2.285000E+2,2.622620E-6,-1.192100E-6,2.880840E-6,-2.444396E+1
5.790530E+0,-2.170000E+2,3.248470E-6,1.490130E-7,3.251886E-6,2.626417E+0
5.990564E+0,-1.976000E+2,5.513460E-6,1.072890E-6,5.616879E-6,1.101184E+1
6.190690E+0,-1.863000E+2,6.854560E-6,1.639140E-6,7.047820E-6,1.344866E+1
6.395745E+0,-1.670000E+2,9.745420E-6,2.533210E-6,1.006928E-5,1.457092E+1
6.599598E+0,-1.560000E+2,1.117590E-5,2.324600E-6,1.141510E-5,1.175005E+1
6.799483E+0,-1.471000E+2,1.192100E-5,1.609330E-6,1.202914E-5,7.688424E+0
6.990213E+0,-1.210000E+2,1.177200E-5,5.662480E-7,1.178561E-5,2.753876E+0
7.192045E+0,-1.115000E+2,1.031170E-5,7.152590E-7,1.033648E-5,3.967899E+0
